!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: Vega
! Using recent Calspec Alpha Lyrea STIS spectrum:
! ftp://ftp.stsci.edu/cdbs/current_calspec/
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
! 2MASS Cohen et al. (2003) RSR JHK filters
! (energy counting + add. zps used)
!
!        Teff    Logg   [M/H]   [a/H]             J           H           K         J-H         J-K         H-K
      1900.00    5.50    0.00    0.00       -35.644     -36.422     -36.863       0.778       1.219       0.441
      1950.00    5.00    0.00    0.00       -35.723     -36.664     -37.121       0.942       1.398       0.457
      1950.00    5.50    0.00    0.00       -35.863     -36.611     -36.964       0.748       1.101       0.353
      2000.00    2.50    0.00    0.00       -35.973     -36.589     -37.130       0.616       1.157       0.542
      2000.00    3.00    0.00    0.00       -35.797     -36.534     -37.115       0.736       1.318       0.581
      2000.00    3.50    0.00    0.00       -35.779     -36.572     -37.145       0.793       1.366       0.573
      2000.00    4.00    0.00    0.00       -35.943     -36.683     -37.205       0.740       1.262       0.522
      2000.00    4.50    0.00    0.00       -36.029     -36.753     -37.214       0.725       1.186       0.461
      2000.00    5.00    0.00    0.00       -35.693     -36.655     -37.125       0.962       1.433       0.470
      2000.00    5.50    0.00    0.00       -35.999     -36.720     -37.052       0.721       1.053       0.332
      2050.00    2.50    0.00    0.00       -36.074     -36.699     -37.231       0.625       1.157       0.532
      2050.00    3.00    0.00    0.00       -36.069     -36.720     -37.246       0.651       1.177       0.525
      2050.00    3.50    0.00    0.00       -35.981     -36.706     -37.245       0.725       1.264       0.539
      2050.00    4.00    0.00    0.00       -36.051     -36.781     -37.271       0.729       1.219       0.490
      2050.00    4.50    0.00    0.00       -36.082     -36.819     -37.250       0.737       1.168       0.431
      2050.00    5.00    0.00    0.00       -36.154     -36.913     -37.271       0.759       1.118       0.359
      2100.00    2.50    0.00    0.00       -36.166     -36.761     -37.275       0.595       1.110       0.514
      2100.00    3.00    0.00    0.00       -36.074     -36.738     -37.273       0.664       1.199       0.535
      2100.00    3.50    0.00    0.00       -36.149     -36.800     -37.303       0.651       1.154       0.503
      2100.00    4.00    0.00    0.00       -36.211     -36.863     -37.317       0.651       1.106       0.455
      2100.00    4.50    0.00    0.00       -36.236     -36.922     -37.366       0.686       1.131       0.444
      2100.00    5.00    0.00    0.00       -36.244     -36.959     -37.300       0.715       1.055       0.341
      2100.00    5.50    0.00    0.00       -36.354     -36.992     -37.182       0.638       0.828       0.190
      2150.00    2.50    0.00    0.00       -36.245     -36.861     -37.371       0.616       1.126       0.510
      2150.00    3.00    0.00    0.00       -36.250     -36.888     -37.394       0.639       1.144       0.506
      2150.00    3.50    0.00    0.00       -36.300     -36.927     -37.408       0.627       1.109       0.481
      2150.00    4.00    0.00    0.00       -36.343     -36.986     -37.433       0.643       1.090       0.447
      2150.00    4.50    0.00    0.00       -36.306     -37.008     -37.427       0.702       1.121       0.419
      2150.00    5.00    0.00    0.00       -36.303     -37.031     -37.391       0.728       1.088       0.360
      2200.00    2.50    0.00    0.00       -36.397     -36.953     -37.430       0.556       1.033       0.478
      2200.00    3.00    0.00    0.00       -36.376     -36.963     -37.446       0.588       1.071       0.483
      2200.00    3.50    0.00    0.00       -36.385     -36.990     -37.461       0.605       1.076       0.471
      2200.00    4.00    0.00    0.00       -36.421     -37.040     -37.477       0.619       1.055       0.437
      2200.00    4.50    0.00    0.00       -36.405     -37.056     -37.485       0.651       1.080       0.429
      2200.00    5.00    0.00    0.00       -36.404     -37.129     -37.485       0.725       1.081       0.356
      2200.00    5.50    0.00    0.00       -36.252     -36.949     -37.240       0.697       0.988       0.291
      2250.00    2.50    0.00    0.00       -36.523     -37.062     -37.522       0.539       0.999       0.460
      2250.00    3.00    0.00    0.00       -36.545     -37.105     -37.559       0.560       1.014       0.454
      2250.00    3.50    0.00    0.00       -36.536     -37.121     -37.571       0.585       1.034       0.449
      2250.00    4.00    0.00    0.00       -36.563     -37.157     -37.573       0.593       1.009       0.416
      2250.00    4.50    0.00    0.00       -36.553     -37.176     -37.556       0.623       1.003       0.380
      2250.00    5.00    0.00    0.00       -36.503     -37.203     -37.555       0.700       1.052       0.351
      2300.00    2.50    0.00    0.00       -36.660     -37.155     -37.588       0.495       0.928       0.434
      2300.00    3.00    0.00    0.00       -36.645     -37.173     -37.608       0.528       0.963       0.436
      2300.00    3.50    0.00    0.00       -36.608     -37.171     -37.610       0.563       1.001       0.438
      2300.00    4.00    0.00    0.00       -36.621     -37.207     -37.622       0.587       1.001       0.414
      2300.00    4.50    0.00    0.00       -36.750     -37.285     -37.652       0.536       0.902       0.367
      2300.00    5.00    0.00    0.00       -36.659     -37.285     -37.611       0.627       0.953       0.326
      2300.00    5.50    0.00    0.00       -36.822     -37.325     -37.552       0.503       0.730       0.227
      2350.00    2.50    0.00    0.00       -36.687     -37.208     -37.642       0.522       0.955       0.433
      2350.00    3.00    0.00    0.00       -36.758     -37.285     -37.704       0.527       0.946       0.419
      2350.00    3.50    0.00    0.00       -36.740     -37.295     -37.713       0.555       0.973       0.418
      2350.00    4.00    0.00    0.00       -36.752     -37.323     -37.720       0.571       0.968       0.398
      2350.00    4.50    0.00    0.00       -36.735     -37.341     -37.717       0.606       0.981       0.375
      2350.00    5.00    0.00    0.00       -36.785     -37.395     -37.697       0.610       0.912       0.302
      2400.00    2.50    0.00    0.00       -36.850     -37.330     -37.727       0.480       0.877       0.397
      2400.00    3.00    0.00    0.00       -36.820     -37.333     -37.743       0.514       0.924       0.410
      2400.00    3.50    0.00    0.00       -36.808     -37.347     -37.759       0.539       0.950       0.411
      2400.00    4.00    0.00    0.00       -36.815     -37.375     -37.766       0.559       0.951       0.391
      2400.00    4.50    0.00    0.00       -36.879     -37.408     -37.767       0.529       0.888       0.359
      2400.00    5.00    0.00    0.00       -36.831     -37.439     -37.755       0.608       0.925       0.317
      2400.00    5.50    0.00    0.00       -36.862     -37.484     -37.730       0.623       0.868       0.245
      2500.00    2.50    0.00    0.00       -37.037     -37.517     -37.865       0.479       0.827       0.348
      2500.00    3.00    0.00    0.00       -36.996     -37.497     -37.880       0.502       0.884       0.383
      2500.00    3.50    0.00    0.00       -36.979     -37.507     -37.894       0.528       0.914       0.386
