 # M = 0.85 Mo, Y = 0.2880, Z = 2.00000E-02, alpha = 1.68, X_D = 2.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  4.95769808   0.692   0.88304   3.62721   6.12654  -1.23116   0.00000   8.750E-01   0.000E+00   1.250E-01
   2  5.03963598   0.692   0.87671   3.62739   6.12995  -1.22091   0.00000   8.834E-01   0.000E+00   1.166E-01
   3  5.10854114   0.692   0.87039   3.62757   6.13336  -1.21066   0.00000   8.918E-01   0.000E+00   1.082E-01
   4  5.16799610   0.692   0.86454   3.62774   6.13652  -1.20118   0.00000   8.967E-01   0.000E+00   1.033E-01
   5  5.22028312   0.692   0.85898   3.62790   6.13953  -1.19215   0.00000   8.993E-01   0.000E+00   1.006E-01
   6  5.26694608   0.692   0.85342   3.62806   6.14253  -1.18311   0.00000   9.020E-01   0.000E+00   9.791E-02
   7  5.30907820   0.692   0.84794   3.62821   6.14548  -1.17427   0.00000   9.026E-01   0.000E+00   9.731E-02
   8  5.34748200   0.692   0.84250   3.62835   6.14839  -1.16553   0.00000   9.020E-01   0.000E+00   9.795E-02
   9  5.38276401   0.692   0.83706   3.62848   6.15130  -1.15679   0.00000   9.015E-01   0.000E+00   9.860E-02
  10  5.41539383   0.692   0.83157   3.62863   6.15424  -1.14796   0.00000   9.003E-01   0.000E+00   9.982E-02
  11  5.44574247   0.692   0.82590   3.62878   6.15729  -1.13880   0.00000   8.971E-01   0.000E+00   1.029E-01
  12  5.47410816   0.692   0.82024   3.62893   6.16033  -1.12965   0.00000   8.940E-01   0.000E+00   1.061E-01
  13  5.50073420   0.692   0.81457   3.62909   6.16338  -1.12049   0.00000   8.908E-01   0.000E+00   1.092E-01
  14  5.52582170   0.692   0.80840   3.62924   6.16667  -1.11060   0.00000   8.853E-01   0.000E+00   1.147E-01
  15  5.54953880   0.692   0.80204   3.62940   6.17006  -1.10044   0.00000   8.790E-01   0.000E+00   1.210E-01
