 # M = 3.40 Mo, Y = 0.2880, Z = 2.00000E-02, alpha = 1.68, X_D = 2.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  4.41742366   0.692   2.00551   3.66549   6.23144  -2.08945   0.00000   6.970E-01   0.000E+00   3.030E-01
   2  4.49024792   0.692   1.99800   3.66624   6.23660  -2.07398   0.00000   7.392E-01   0.000E+00   2.608E-01
   3  4.55259635   0.692   1.99119   3.66689   6.24125  -2.06006   0.00000   7.709E-01   0.000E+00   2.291E-01
   4  4.60710729   0.692   1.98513   3.66746   6.24535  -2.04778   0.00000   7.913E-01   0.000E+00   2.087E-01
   5  4.65553294   0.692   1.97949   3.66798   6.24916  -2.03636   0.00000   8.060E-01   0.000E+00   1.940E-01
   6  4.69909653   0.692   1.97432   3.66846   6.25267  -2.02585   0.00000   8.143E-01   0.000E+00   1.857E-01
   7  4.73868594   0.692   1.96915   3.66895   6.25617  -2.01535   0.00000   8.226E-01   0.000E+00   1.774E-01
   8  4.77496602   0.692   1.96425   3.66938   6.25944  -2.00556   0.00000   8.246E-01   0.000E+00   1.754E-01
   9  4.80844762   0.692   1.95936   3.66981   6.26269  -1.99581   0.00000   8.263E-01   0.000E+00   1.737E-01
  10  4.83953171   0.692   1.95447   3.67023   6.26594  -1.98606   0.00000   8.280E-01   0.000E+00   1.720E-01
  11  4.86853882   0.692   1.94952   3.67064   6.26919  -1.97632   0.00000   8.251E-01   0.000E+00   1.749E-01
  12  4.89572922   0.692   1.94456   3.67105   6.27244  -1.96658   0.00000   8.223E-01   0.000E+00   1.777E-01
  13  4.92131712   0.692   1.93961   3.67146   6.27569  -1.95685   0.00000   8.194E-01   0.000E+00   1.806E-01
  14  4.94548093   0.692   1.93432   3.67186   6.27910  -1.94663   0.00000   8.131E-01   0.000E+00   1.869E-01
  15  4.96837086   0.692   1.92897   3.67227   6.28253  -1.93633   0.00000   8.061E-01   0.000E+00   1.939E-01
  16  4.99011451   0.692   1.92363   3.67267   6.28597  -1.92602   0.00000   7.992E-01   0.000E+00   2.008E-01
  17  5.01082124   0.692   1.91785   3.67310   6.28965  -1.91499   0.00000   7.889E-01   0.000E+00   2.111E-01
  18  5.03058546   0.692   1.91188   3.67353   6.29344  -1.90364   0.00000   7.771E-01   0.000E+00   2.229E-01
  19  5.04948925   0.692   1.90590   3.67396   6.29723  -1.89229   0.00000   7.654E-01   0.000E+00   2.346E-01
  20  5.06760441   0.692   1.89932   3.67441   6.30137  -1.87988   0.00000   7.490E-01   0.000E+00   2.510E-01
  21  5.08499412   0.692   1.89248   3.67487   6.30566  -1.86706   0.00000   7.308E-01   0.000E+00   2.692E-01
  22  5.10171425   0.692   1.88563   3.67533   6.30995  -1.85419   0.00000   7.125E-01   0.000E+00   2.875E-01
  23  5.11781445   0.692   1.87781   3.67584   6.31483  -1.83958   0.00000   6.861E-01   0.000E+00   3.139E-01
  24  5.13333906   0.692   1.86998   3.67635   6.31971  -1.82496   0.00000   6.596E-01   0.000E+00   3.404E-01
  25  5.14832781   0.692   1.86147   3.67690   6.32500  -1.80910   0.00000   6.269E-01   0.000E+00   3.731E-01
  26  5.16281647   0.692   1.85256   3.67748   6.33053  -1.79253   0.00000   5.906E-01   0.000E+00   4.094E-01
  27  5.17683734   0.692   1.84309   3.67808   6.33641  -1.77491   0.00000   5.490E-01   0.000E+00   4.510E-01
