 # M = 1.30 Mo, Y = 0.2880, Z = 2.00000E-02, alpha = 1.68, X_D = 2.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  4.88409826   0.692   1.23708   3.64444   6.16521  -1.47790   0.00000   8.700E-01   0.000E+00   1.300E-01
   2  4.94600347   0.692   1.23185   3.64474   6.16833  -1.46852   0.00000   8.762E-01   0.000E+00   1.238E-01
   3  5.00017545   0.692   1.22663   3.64504   6.17146  -1.45914   0.00000   8.824E-01   0.000E+00   1.176E-01
   4  5.04833349   0.692   1.22152   3.64533   6.17452  -1.44994   0.00000   8.873E-01   0.000E+00   1.127E-01
   5  5.09168043   0.692   1.21675   3.64562   6.17740  -1.44130   0.00000   8.885E-01   0.000E+00   1.115E-01
   6  5.13109085   0.692   1.21197   3.64590   6.18028  -1.43265   0.00000   8.898E-01   0.000E+00   1.102E-01
   7  5.16722058   0.692   1.20720   3.64618   6.18316  -1.42400   0.00000   8.910E-01   0.000E+00   1.090E-01
   8  5.20057410   0.692   1.20248   3.64649   6.18606  -1.41530   0.00000   8.891E-01   0.000E+00   1.109E-01
   9  5.23154777   0.692   1.19776   3.64679   6.18896  -1.40660   0.00000   8.871E-01   0.000E+00   1.129E-01
  10  5.26045871   0.692   1.19304   3.64710   6.19186  -1.39790   0.00000   8.851E-01   0.000E+00   1.149E-01
  11  5.28756460   0.692   1.18817   3.64741   6.19485  -1.38891   0.00000   8.819E-01   0.000E+00   1.181E-01
  12  5.31307763   0.692   1.18309   3.64774   6.19797  -1.37954   0.00000   8.771E-01   0.000E+00   1.229E-01
  13  5.33717468   0.692   1.17801   3.64807   6.20109  -1.37017   0.00000   8.723E-01   0.000E+00   1.277E-01
  14  5.36000468   0.692   1.17293   3.64840   6.20421  -1.36080   0.00000   8.674E-01   0.000E+00   1.326E-01
  15  5.38169426   0.692   1.16724   3.64877   6.20771  -1.35029   0.00000   8.594E-01   0.000E+00   1.406E-01
  16  5.40235195   0.692   1.16150   3.64914   6.21124  -1.33968   0.00000   8.511E-01   0.000E+00   1.489E-01
  17  5.42207148   0.692   1.15575   3.64951   6.21477  -1.32907   0.00000   8.429E-01   0.000E+00   1.571E-01
  18  5.44093439   0.692   1.14932   3.64991   6.21870  -1.31728   0.00000   8.309E-01   0.000E+00   1.691E-01
  19  5.45901200   0.692   1.14253   3.65033   6.22284  -1.30488   0.00000   8.169E-01   0.000E+00   1.831E-01
  20  5.47636711   0.692   1.13575   3.65075   6.22697  -1.29248   0.00000   8.030E-01   0.000E+00   1.970E-01
  21  5.49305524   0.692   1.12788   3.65121   6.23171  -1.27826   0.00000   7.823E-01   0.000E+00   2.177E-01
  22  5.50912578   0.692   1.11971   3.65167   6.23661  -1.26356   0.00000   7.599E-01   0.000E+00   2.401E-01
  23  5.52462281   0.692   1.11097   3.65215   6.24182  -1.24796   0.00000   7.336E-01   0.000E+00   2.664E-01
  24  5.53958585   0.692   1.10108   3.65263   6.24761  -1.23057   0.00000   6.997E-01   0.000E+00   3.003E-01
  25  5.55405048   0.692   1.09068   3.65313   6.25365  -1.21242   0.00000   6.621E-01   0.000E+00   3.379E-01
  26  5.56804884   0.692   1.07893   3.65363   6.26039  -1.19220   0.00000   6.146E-01   0.000E+00   3.854E-01
  27  5.58161006   0.692   1.06629   3.65415   6.26760  -1.17055   0.00000   5.601E-01   0.000E+00   4.399E-01
  28  5.59476060   0.692   1.05280   3.65469   6.27525  -1.14757   0.00000   4.988E-01   0.000E+00   5.012E-01
  29  5.60752462   0.692   1.03777   3.65523   6.28368  -1.12229   0.00000   4.281E-01   0.000E+00   5.719E-01
  30  5.61992419   0.692   1.02190   3.65576   6.29254  -1.09578   0.00000   3.543E-01   0.000E+00   6.457E-01
  31  5.63197954   0.692   1.00532   3.65630   6.30175  -1.06819   0.00000   2.812E-01   0.000E+00   7.188E-01
  32  5.64370927   0.692   0.98823   3.65682   6.31118  -1.03990   0.00000   2.135E-01   0.000E+00   7.865E-01
  33  5.65513052   0.692   0.97087   3.65733   6.32070  -1.01137   0.00000   1.542E-01   0.000E+00   8.458E-01
  34  5.66625908   0.692   0.95363   3.65781   6.33014  -0.98308   0.00000   1.064E-01   0.000E+00   8.936E-01
  35  5.67710958   0.692   0.93668   3.65827   6.33937  -0.95543   0.00000   7.060E-02   0.000E+00   9.294E-01
  36  5.68769560   0.692   0.92026   3.65869   6.34837  -0.92856   0.00000   4.539E-02   0.000E+00   9.546E-01
  37  5.69802970   0.692   0.90453   3.65909   6.35691  -0.90299   0.00000   2.964E-02   0.000E+00   9.704E-01
  38  5.70812361   0.692   0.88942   3.65946   6.36505  -0.87857   0.00000   1.874E-02   0.000E+00   9.813E-01
  39  5.71798823   0.692   0.87497   3.65981   6.37284  -0.85520   0.00000   1.157E-02   0.000E+00   9.884E-01
  40  5.72763375   0.692   0.86109   3.66014   6.38031  -0.83281   0.00000   6.964E-03   0.000E+00   9.930E-01
  41  5.73706969   0.692   0.84769   3.66044   6.38748  -0.81129   0.00000   4.000E-03   0.000E+00   9.960E-01
  42  5.76714525   0.692   0.80737   3.66132   6.40904  -0.74660   0.00000   7.687E-04   0.000E+00   9.992E-01
  43  5.79527224   0.692   0.77181   3.66205   6.42798  -0.68981   0.00000   0.000E+00   0.000E+00   1.000E+00
  44  5.82168787   0.692   0.74007   3.66267   6.44482  -0.63930   0.00000   0.000E+00   0.000E+00   1.000E+00
  45  5.84658850   0.692   0.71152   3.66317   6.45988  -0.59415   0.00000   0.000E+00   0.000E+00   1.000E+00
  46  5.87013852   0.692   0.68530   3.66361   6.47366  -0.55282   0.00000   0.000E+00   0.000E+00   1.000E+00
  47  5.89247693   0.692   0.66135   3.66398   6.48619  -0.51522   0.00000   0.000E+00   0.000E+00   1.000E+00
