 # M = 1.90 Mo, Y = 0.2880, Z = 2.00000E-02, alpha = 1.68, X_D = 2.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  4.77053031   0.692   1.54351   3.65691   6.19861  -1.70061   0.00000   8.450E-01   0.000E+00   1.550E-01
   2  4.82660974   0.692   1.53801   3.65724   6.20195  -1.69057   0.00000   8.524E-01   0.000E+00   1.476E-01
   3  4.87626891   0.692   1.53251   3.65758   6.20530  -1.68052   0.00000   8.597E-01   0.000E+00   1.403E-01
   4  4.92082801   0.692   1.52718   3.65789   6.20853  -1.67081   0.00000   8.645E-01   0.000E+00   1.355E-01
   5  4.96123772   0.692   1.52210   3.65819   6.21161  -1.66157   0.00000   8.658E-01   0.000E+00   1.342E-01
   6  4.99820544   0.692   1.51702   3.65849   6.21470  -1.65233   0.00000   8.671E-01   0.000E+00   1.329E-01
   7  5.03227177   0.692   1.51193   3.65879   6.21778  -1.64309   0.00000   8.673E-01   0.000E+00   1.327E-01
   8  5.06385919   0.692   1.50682   3.65909   6.22085  -1.63386   0.00000   8.652E-01   0.000E+00   1.348E-01
   9  5.09330412   0.692   1.50172   3.65938   6.22393  -1.62464   0.00000   8.631E-01   0.000E+00   1.369E-01
  10  5.12087882   0.692   1.49661   3.65967   6.22701  -1.61540   0.00000   8.609E-01   0.000E+00   1.391E-01
  11  5.14680676   0.692   1.49116   3.65998   6.23029  -1.60556   0.00000   8.555E-01   0.000E+00   1.445E-01
  12  5.17127359   0.692   1.48570   3.66029   6.23357  -1.59572   0.00000   8.501E-01   0.000E+00   1.499E-01
  13  5.19443524   0.692   1.48025   3.66060   6.23685  -1.58588   0.00000   8.447E-01   0.000E+00   1.553E-01
  14  5.21642393   0.692   1.47434   3.66093   6.24040  -1.57523   0.00000   8.363E-01   0.000E+00   1.637E-01
  15  5.23735276   0.692   1.46822   3.66127   6.24407  -1.56423   0.00000   8.267E-01   0.000E+00   1.733E-01
  16  5.25731922   0.692   1.46210   3.66161   6.24774  -1.55323   0.00000   8.170E-01   0.000E+00   1.830E-01
  17  5.27640794   0.692   1.45543   3.66198   6.25174  -1.54124   0.00000   8.037E-01   0.000E+00   1.963E-01
  18  5.29469285   0.692   1.44837   3.66237   6.25596  -1.52856   0.00000   7.878E-01   0.000E+00   2.122E-01
