 # M = 0.35 Mo, Y = 0.2880, Z = 2.00000E-02, alpha = 1.68, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
  49  6.68174308   0.692  -0.77546   3.53647   6.38411   0.30033   0.00000   0.000E+00   0.000E+00   1.000E+00
  50  6.69529659   0.692  -0.79158   3.53639   6.39179   0.32352   0.00000   0.000E+00   0.000E+00   1.000E+00
  51  6.70843988   0.692  -0.80684   3.53633   6.39907   0.34555   0.00000   0.000E+00   0.000E+00   1.000E+00
  52  6.72119707   0.692  -0.82139   3.53628   6.40603   0.36659   0.00000   0.000E+00   0.000E+00   1.000E+00
  53  6.73359018   0.692  -0.83506   3.53623   6.41259   0.38645   0.00000   0.000E+00   0.000E+00   1.000E+00
  54  6.74563944   0.692  -0.84810   3.53620   6.41886   0.40542   0.00000   0.000E+00   0.000E+00   1.000E+00
  55  6.75736340   0.692  -0.86068   3.53617   6.42492   0.42375   0.00000   0.000E+00   0.000E+00   1.000E+00
  56  6.76877917   0.692  -0.87267   3.53615   6.43069   0.44123   0.00000   0.000E+00   0.000E+00   1.000E+00
  57  6.77990254   0.692  -0.88411   3.53613   6.43622   0.45795   0.00000   0.000E+00   0.000E+00   1.000E+00
  58  6.79074811   0.692  -0.89527   3.53612   6.44163   0.47432   0.00000   0.000E+00   0.000E+00   1.000E+00
  59  6.80132942   0.692  -0.90577   3.53611   6.44671   0.48971   0.00000   0.000E+00   0.000E+00   1.000E+00
  60  6.81165905   0.692  -0.91610   3.53610   6.45172   0.50486   0.00000   0.000E+00   0.000E+00   1.000E+00
  61  6.82174868   0.692  -0.92591   3.53610   6.45647   0.51928   0.00000   0.000E+00   0.000E+00   1.000E+00
  62  6.83160922   0.692  -0.93552   3.53610   6.46114   0.53341   0.00000   0.000E+00   0.000E+00   1.000E+00
  63  6.84125084   0.692  -0.94472   3.53609   6.46560   0.54693   0.00000   0.000E+00   0.000E+00   1.000E+00
  64  6.85068305   0.692  -0.95374   3.53609   6.46998   0.56021   0.00000   0.000E+00   0.000E+00   1.000E+00
  65  6.85991476   0.692  -0.96234   3.53609   6.47417   0.57289   0.00000   0.000E+00   0.000E+00   1.000E+00
  66  6.86895430   0.692  -0.97089   3.53609   6.47832   0.58548   0.00000   0.000E+00   0.000E+00   1.000E+00
  67  6.87780953   0.692  -0.97895   3.53609   6.48224   0.59737   0.00000   0.000E+00   0.000E+00   1.000E+00
  68  6.88648780   0.692  -0.98701   3.53609   6.48617   0.60926   0.00000   0.000E+00   0.000E+00   1.000E+00
  69  6.89499604   0.692  -0.99468   3.53609   6.48989   0.62057   0.00000   0.000E+00   0.000E+00   1.000E+00
  70  6.90334080   0.692  -1.00225   3.53609   6.49356   0.63171   0.00000   0.000E+00   0.000E+00   1.000E+00
  71  6.91152824   0.692  -1.00966   3.53609   6.49717   0.64264   0.00000   0.000E+00   0.000E+00   1.000E+00
  72  6.91956418   0.692  -1.01674   3.53609   6.50061   0.65308   0.00000   0.000E+00   0.000E+00   1.000E+00
  73  6.92745412   0.692  -1.02383   3.53609   6.50406   0.66353   0.00000   0.000E+00   0.000E+00   1.000E+00
  74  6.93520328   0.692  -1.03061   3.53609   6.50736   0.67354   0.00000   0.000E+00   0.000E+00   1.000E+00
  75  6.94281659   0.692  -1.03724   3.53610   6.51059   0.68334   0.00000   0.000E+00   0.000E+00   1.000E+00
  76  6.95029873   0.692  -1.04387   3.53610   6.51381   0.69314   0.00000   0.000E+00   0.000E+00   1.000E+00
  77  6.95765415   0.692  -1.05016   3.53610   6.51687   0.70242   0.00000   0.000E+00   0.000E+00   1.000E+00
  78  6.96488707   0.692  -1.05639   3.53610   6.51989   0.71161   0.00000   0.000E+00   0.000E+00   1.000E+00
  79  6.97200149   0.692  -1.06261   3.53610   6.52292   0.72079   0.00000   0.000E+00   0.000E+00   1.000E+00
