 # M = 0.30 Mo, Y = 0.2880, Z = 2.00000E-02, alpha = 1.68, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  5.15551790   0.692  -0.12467   3.53582   6.00516  -0.71039   0.00000   1.003E+00   0.000E+00  -3.450E-03
   2  5.41630344   0.692  -0.13371   3.53559   6.00901  -0.69881   0.00000   9.459E-01   0.000E+00   5.388E-02
   3  5.57810618   0.692  -0.14366   3.53531   6.01321  -0.68616   0.00000   9.402E-01   0.000E+00   5.957E-02
   4  5.69572042   0.692  -0.15291   3.53505   6.01712  -0.67441   0.00000   9.428E-01   0.000E+00   5.678E-02
   5  5.78817569   0.692  -0.16083   3.53485   6.02050  -0.66425   0.00000   9.469E-01   0.000E+00   5.290E-02
   6  5.86436153   0.692  -0.16855   3.53465   6.02380  -0.65433   0.00000   9.503E-01   0.000E+00   4.963E-02
   7  5.92915601   0.692  -0.17562   3.53447   6.02683  -0.64524   0.00000   9.515E-01   0.000E+00   4.844E-02
   8  5.98552670   0.692  -0.18269   3.53429   6.02985  -0.63615   0.00000   9.526E-01   0.000E+00   4.725E-02
   9  6.03541405   0.692  -0.18964   3.53412   6.03284  -0.62718   0.00000   9.525E-01   0.000E+00   4.735E-02
  10  6.08015674   0.692  -0.19653   3.53396   6.03581  -0.61825   0.00000   9.518E-01   0.000E+00   4.798E-02
  11  6.12071737   0.692  -0.20343   3.53379   6.03878  -0.60932   0.00000   9.511E-01   0.000E+00   4.862E-02
  12  6.15781133   0.692  -0.21064   3.53362   6.04190  -0.59995   0.00000   9.492E-01   0.000E+00   5.054E-02
  13  6.19198483   0.692  -0.21789   3.53345   6.04503  -0.59051   0.00000   9.471E-01   0.000E+00   5.264E-02
  14  6.22366435   0.692  -0.22515   3.53328   6.04817  -0.58108   0.00000   9.451E-01   0.000E+00   5.474E-02
  15  6.25318930   0.692  -0.23318   3.53311   6.05167  -0.57055   0.00000   9.411E-01   0.000E+00   5.858E-02
  16  6.28083416   0.692  -0.24124   3.53294   6.05518  -0.55999   0.00000   9.371E-01   0.000E+00   6.246E-02
  17  6.30682412   0.692  -0.24957   3.53276   6.05881  -0.54905   0.00000   9.326E-01   0.000E+00   6.695E-02
  18  6.33134617   0.692  -0.25891   3.53257   6.06291  -0.53673   0.00000   9.262E-01   0.000E+00   7.368E-02
  19  6.35455729   0.692  -0.26826   3.53238   6.06700  -0.52441   0.00000   9.197E-01   0.000E+00   8.040E-02
  20  6.37659057   0.692  -0.27894   3.53217   6.07171  -0.51025   0.00000   9.094E-01   0.000E+00   9.069E-02
  21  6.39755978   0.692  -0.29011   3.53196   6.07664  -0.49544   0.00000   8.978E-01   0.000E+00   1.023E-01
  22  6.41756300   0.692  -0.30272   3.53173   6.08223  -0.47863   0.00000   8.817E-01   0.000E+00   1.183E-01
  23  6.43668530   0.692  -0.31632   3.53149   6.08827  -0.46046   0.00000   8.628E-01   0.000E+00   1.372E-01
  24  6.45500103   0.692  -0.33234   3.53122   6.09542  -0.43890   0.00000   8.328E-01   0.000E+00   1.672E-01
