 # M = 5.50 Mo, Y = 0.2880, Z = 2.00000E-02, alpha = 1.68, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  4.83176073   0.692   2.32744   3.67471   6.28855  -2.30319   0.00000   9.010E-01   0.000E+00   9.940E-02
   2  4.85694717   0.692   2.32386   3.67499   6.29086  -2.29626   0.00000   8.986E-01   0.000E+00   1.017E-01
   3  4.88075268   0.692   2.32029   3.67526   6.29318  -2.28933   0.00000   8.963E-01   0.000E+00   1.039E-01
   4  4.90332083   0.692   2.31671   3.67554   6.29549  -2.28240   0.00000   8.939E-01   0.000E+00   1.062E-01
   5  4.92477394   0.692   2.31314   3.67582   6.29781  -2.27546   0.00000   8.916E-01   0.000E+00   1.085E-01
   6  4.94521701   0.692   2.30942   3.67610   6.30022  -2.26826   0.00000   8.884E-01   0.000E+00   1.116E-01
   7  4.96474089   0.692   2.30539   3.67640   6.30281  -2.26050   0.00000   8.837E-01   0.000E+00   1.163E-01
   8  4.98342470   0.692   2.30137   3.67670   6.30540  -2.25275   0.00000   8.789E-01   0.000E+00   1.211E-01
   9  5.00133775   0.692   2.29735   3.67700   6.30799  -2.24500   0.00000   8.742E-01   0.000E+00   1.258E-01
  10  5.01854113   0.692   2.29333   3.67730   6.31058  -2.23724   0.00000   8.694E-01   0.000E+00   1.306E-01
  11  5.03508894   0.692   2.28867   3.67764   6.31355  -2.22832   0.00000   8.617E-01   0.000E+00   1.383E-01
  12  5.05102930   0.692   2.28395   3.67799   6.31657  -2.21928   0.00000   8.535E-01   0.000E+00   1.465E-01
  13  5.06640524   0.692   2.27923   3.67833   6.31959  -2.21024   0.00000   8.454E-01   0.000E+00   1.546E-01
