 # M = 0.65 Mo, Y = 0.2880, Z = 2.00000E-02, alpha = 1.68, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  4.94635857   0.692   0.68883   3.61099   6.07766  -1.14896   0.00000   9.330E-01   0.000E+00   6.710E-02
   2  5.11199557   0.692   0.68026   3.61112   6.08203  -1.13581   0.00000   9.330E-01   0.000E+00   6.701E-02
   3  5.23161127   0.692   0.67272   3.61123   6.08588  -1.12425   0.00000   9.372E-01   0.000E+00   6.277E-02
   4  5.32529585   0.692   0.66569   3.61133   6.08946  -1.11349   0.00000   9.414E-01   0.000E+00   5.860E-02
   5  5.40231343   0.692   0.65948   3.61141   6.09262  -1.10401   0.00000   9.451E-01   0.000E+00   5.498E-02
   6  5.46770812   0.692   0.65327   3.61150   6.09577  -1.09452   0.00000   9.489E-01   0.000E+00   5.137E-02
   7  5.52453234   0.692   0.64790   3.61157   6.09851  -1.08630   0.00000   9.505E-01   0.000E+00   4.984E-02
   8  5.57477445   0.692   0.64254   3.61165   6.10124  -1.07811   0.00000   9.521E-01   0.000E+00   4.835E-02
   9  5.61980223   0.692   0.63718   3.61172   6.10396  -1.06992   0.00000   9.536E-01   0.000E+00   4.685E-02
  10  5.66059698   0.692   0.63196   3.61179   6.10661  -1.06196   0.00000   9.538E-01   0.000E+00   4.664E-02
  11  5.69788662   0.692   0.62677   3.61185   6.10923  -1.05408   0.00000   9.535E-01   0.000E+00   4.683E-02
  12  5.73222612   0.692   0.62158   3.61191   6.11185  -1.04620   0.00000   9.533E-01   0.000E+00   4.702E-02
  13  5.76404824   0.692   0.61639   3.61197   6.11448  -1.03831   0.00000   9.530E-01   0.000E+00   4.725E-02
  14  5.79369700   0.692   0.61092   3.61203   6.11724  -1.03000   0.00000   9.514E-01   0.000E+00   4.878E-02
  15  5.82145037   0.692   0.60545   3.61210   6.12001  -1.02170   0.00000   9.498E-01   0.000E+00   5.031E-02
  16  5.84753622   0.692   0.59998   3.61216   6.12278  -1.01339   0.00000   9.483E-01   0.000E+00   5.184E-02
  17  5.87214360   0.692   0.59438   3.61222   6.12561  -1.00490   0.00000   9.465E-01   0.000E+00   5.364E-02
  18  5.89543116   0.692   0.58817   3.61228   6.12873  -0.99551   0.00000   9.435E-01   0.000E+00   5.674E-02
  19  5.91753330   0.692   0.58195   3.61235   6.13186  -0.98612   0.00000   9.404E-01   0.000E+00   5.983E-02
  20  5.93856488   0.692   0.57574   3.61241   6.13498  -0.97673   0.00000   9.374E-01   0.000E+00   6.293E-02
  21  5.95862484   0.692   0.56887   3.61247   6.13843  -0.96638   0.00000   9.329E-01   0.000E+00   6.741E-02
  22  5.97779900   0.692   0.56140   3.61253   6.14215  -0.95518   0.00000   9.270E-01   0.000E+00   7.316E-02
  23  5.99616228   0.692   0.55394   3.61260   6.14588  -0.94397   0.00000   9.211E-01   0.000E+00   7.891E-02
  24  6.01378051   0.692   0.54592   3.61266   6.14989  -0.93193   0.00000   9.137E-01   0.000E+00   8.623E-02
  25  6.03071179   0.692   0.53666   3.61274   6.15453  -0.91801   0.00000   9.029E-01   0.000E+00   9.709E-02
  26  6.04700769   0.692   0.52740   3.61281   6.15916  -0.90409   0.00000   8.920E-01   0.000E+00   1.079E-01
  27  6.06271417   0.692   0.51653   3.61288   6.16456  -0.88787   0.00000   8.758E-01   0.000E+00   1.242E-01
  28  6.07787238   0.692   0.50472   3.61295   6.17041  -0.87029   0.00000   8.564E-01   0.000E+00   1.436E-01
  29  6.09251933   0.692   0.49134   3.61301   6.17701  -0.85047   0.00000   8.294E-01   0.000E+00   1.703E-01
  30  6.10668837   0.692   0.47618   3.61306   6.18445  -0.82811   0.00000   7.940E-01   0.000E+00   2.052E-01
  31  6.12040970   0.692   0.45802   3.61310   6.19338  -0.80132   0.00000   7.396E-01   0.000E+00   2.600E-01
  32  6.13371076   0.692   0.43703   3.61312   6.20362  -0.77056   0.00000   6.658E-01   0.000E+00   3.342E-01
  33  6.14661653   0.692   0.41209   3.61309   6.21568  -0.73432   0.00000   5.624E-01   0.000E+00   4.376E-01
  34  6.15914982   0.692   0.38286   3.61300   6.22973  -0.69216   0.00000   4.285E-01   0.000E+00   5.715E-01
