 # M = 0.45 Mo, Y = 0.2880, Z = 2.00000E-02, alpha = 1.68, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  4.97928814   0.692   0.32853   3.58175   6.04284  -0.94054   0.00000   9.650E-01   0.000E+00   3.550E-02
   2  5.19146546   0.692   0.31992   3.58166   6.04679  -0.92867   0.00000   9.386E-01   0.000E+00   6.117E-02
   3  5.33338175   0.692   0.31126   3.58156   6.05077  -0.91670   0.00000   9.373E-01   0.000E+00   6.285E-02
   4  5.44016859   0.692   0.30361   3.58148   6.05427  -0.90619   0.00000   9.413E-01   0.000E+00   5.906E-02
   5  5.52581176   0.692   0.29639   3.58140   6.05756  -0.89629   0.00000   9.450E-01   0.000E+00   5.548E-02
   6  5.59731605   0.692   0.29009   3.58132   6.06043  -0.88766   0.00000   9.481E-01   0.000E+00   5.234E-02
   7  5.65869500   0.692   0.28380   3.58124   6.06330  -0.87903   0.00000   9.511E-01   0.000E+00   4.920E-02
   8  5.71246372   0.692   0.27784   3.58116   6.06601  -0.87090   0.00000   9.522E-01   0.000E+00   4.796E-02
   9  5.76030288   0.692   0.27202   3.58109   6.06865  -0.86297   0.00000   9.525E-01   0.000E+00   4.749E-02
  10  5.80339136   0.692   0.26621   3.58101   6.07129  -0.85503   0.00000   9.529E-01   0.000E+00   4.702E-02
  11  5.84258804   0.692   0.26035   3.58093   6.07395  -0.84705   0.00000   9.525E-01   0.000E+00   4.733E-02
  12  5.87853808   0.692   0.25447   3.58084   6.07661  -0.83904   0.00000   9.517E-01   0.000E+00   4.832E-02
  13  5.91173841   0.692   0.24859   3.58076   6.07928  -0.83103   0.00000   9.508E-01   0.000E+00   4.931E-02
  14  5.94257995   0.692   0.24265   3.58068   6.08197  -0.82294   0.00000   9.498E-01   0.000E+00   5.043E-02
  15  5.97137574   0.692   0.23623   3.58058   6.08486  -0.81425   0.00000   9.474E-01   0.000E+00   5.276E-02
  16  5.99838038   0.692   0.22980   3.58047   6.08775  -0.80555   0.00000   9.451E-01   0.000E+00   5.508E-02
  17  6.02380370   0.692   0.22337   3.58037   6.09065  -0.79686   0.00000   9.427E-01   0.000E+00   5.741E-02
  18  6.04782071   0.692   0.21625   3.58025   6.09384  -0.78725   0.00000   9.388E-01   0.000E+00   6.119E-02
  19  6.07057885   0.692   0.20883   3.58013   6.09717  -0.77725   0.00000   9.343E-01   0.000E+00   6.559E-02
  20  6.09220357   0.692   0.20141   3.58001   6.10050  -0.76724   0.00000   9.298E-01   0.000E+00   6.999E-02
  21  6.11280240   0.692   0.19311   3.57987   6.10422  -0.75608   0.00000   9.234E-01   0.000E+00   7.637E-02
  22  6.13246831   0.692   0.18418   3.57971   6.10820  -0.74411   0.00000   9.156E-01   0.000E+00   8.412E-02
