 # M = 3.40 Mo, Y = 0.2880, Z = 2.00000E-02, alpha = 1.68, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  4.62658606   0.692   2.01985   3.66417   6.22177  -2.11843   0.00000   8.910E-01   0.000E+00   1.090E-01
   2  4.69768140   0.692   2.01526   3.66459   6.22485  -2.10919   0.00000   9.003E-01   0.000E+00   9.966E-02
   3  4.75875896   0.692   2.01067   3.66501   6.22794  -2.09995   0.00000   9.095E-01   0.000E+00   9.032E-02
   4  4.81229633   0.692   2.00647   3.66540   6.23079  -2.09142   0.00000   9.155E-01   0.000E+00   8.426E-02
   5  4.85995232   0.692   2.00265   3.66578   6.23341  -2.08355   0.00000   9.185E-01   0.000E+00   8.129E-02
   6  4.90289218   0.692   1.99882   3.66615   6.23603  -2.07568   0.00000   9.215E-01   0.000E+00   7.831E-02
   7  4.94196585   0.692   1.99501   3.66652   6.23864  -2.06787   0.00000   9.240E-01   0.000E+00   7.579E-02
   8  4.97781239   0.692   1.99132   3.66687   6.24115  -2.06037   0.00000   9.240E-01   0.000E+00   7.574E-02
   9  5.01092444   0.692   1.98762   3.66722   6.24365  -2.05287   0.00000   9.240E-01   0.000E+00   7.569E-02
  10  5.04168979   0.692   1.98393   3.66756   6.24616  -2.04536   0.00000   9.240E-01   0.000E+00   7.564E-02
  11  5.07041915   0.692   1.98019   3.66791   6.24869  -2.03778   0.00000   9.236E-01   0.000E+00   7.602E-02
  12  5.09736537   0.692   1.97631   3.66827   6.25131  -2.02993   0.00000   9.219E-01   0.000E+00   7.790E-02
  13  5.12273691   0.692   1.97243   3.66863   6.25392  -2.02208   0.00000   9.202E-01   0.000E+00   7.978E-02
  14  5.14670769   0.692   1.96854   3.66899   6.25654  -2.01422   0.00000   9.185E-01   0.000E+00   8.165E-02
  15  5.16942434   0.692   1.96459   3.66935   6.25920  -2.00625   0.00000   9.165E-01   0.000E+00   8.379E-02
  16  5.19101157   0.692   1.96017   3.66973   6.26214  -1.99746   0.00000   9.124E-01   0.000E+00   8.776E-02
  17  5.21157640   0.692   1.95575   3.67011   6.26507  -1.98867   0.00000   9.083E-01   0.000E+00   9.173E-02
  18  5.23121131   0.692   1.95133   3.67049   6.26801  -1.97987   0.00000   9.042E-01   0.000E+00   9.570E-02
  19  5.24999677   0.692   1.94672   3.67088   6.27105  -1.97074   0.00000   8.994E-01   0.000E+00   1.004E-01
  20  5.26800324   0.692   1.94140   3.67130   6.27450  -1.96042   0.00000   8.922E-01   0.000E+00   1.076E-01
  21  5.28529276   0.692   1.93608   3.67172   6.27794  -1.95010   0.00000   8.850E-01   0.000E+00   1.149E-01
  22  5.30192025   0.692   1.93077   3.67213   6.28138  -1.93977   0.00000   8.778E-01   0.000E+00   1.221E-01
  23  5.31793454   0.692   1.92454   3.67260   6.28537  -1.92784   0.00000   8.669E-01   0.000E+00   1.333E-01
  24  5.33337925   0.692   1.91800   3.67308   6.28954  -1.91535   0.00000   8.548E-01   0.000E+00   1.458E-01
  25  5.34829352   0.692   1.91146   3.67356   6.29370  -1.90285   0.00000   8.426E-01   0.000E+00   1.584E-01
  26  5.36271258   0.692   1.90368   3.67410   6.29862  -1.88814   0.00000   8.235E-01   0.000E+00   1.772E-01
  27  5.37666824   0.692   1.89556   3.67466   6.30373  -1.87284   0.00000   8.025E-01   0.000E+00   1.977E-01
  28  5.39018938   0.692   1.88678   3.67525   6.30924  -1.85634   0.00000   7.771E-01   0.000E+00   2.229E-01
  29  5.40330224   0.692   1.87677   3.67590   6.31547  -1.83765   0.00000   7.434E-01   0.000E+00   2.566E-01
  30  5.41603075   0.692   1.86603   3.67660   6.32216  -1.81762   0.00000   7.037E-01   0.000E+00   2.963E-01
  31  5.42839681   0.692   1.85401   3.67738   6.32963  -1.79523   0.00000   6.534E-01   0.000E+00   3.466E-01
  32  5.44042048   0.692   1.84051   3.67825   6.33801  -1.77011   0.00000   5.905E-01   0.000E+00   4.095E-01
  33  5.45212022   0.692   1.82577   3.67919   6.34715  -1.74277   0.00000   5.172E-01   0.000E+00   4.828E-01
  34  5.46351303   0.692   1.80953   3.68020   6.35718  -1.71276   0.00000   4.326E-01   0.000E+00   5.674E-01
  35  5.47461459   0.692   1.79200   3.68130   6.36806  -1.68022   0.00000   3.412E-01   0.000E+00   6.588E-01
  36  5.48543943   0.692   1.77348   3.68245   6.37957  -1.64583   0.00000   2.516E-01   0.000E+00   7.484E-01
  37  5.49600101   0.692   1.75439   3.68363   6.39133  -1.61061   0.00000   1.729E-01   0.000E+00   8.271E-01
  38  5.50631182   0.692   1.73543   3.68480   6.40274  -1.57455   0.00000   1.112E-01   0.000E+00   8.888E-01
  39  5.51638351   0.692   1.71679   3.68598   6.41216  -1.53463   0.00000   4.019E-02   0.000E+00   9.598E-01
  40  5.52622691   0.692   1.69905   3.68712   6.42049  -1.49439   0.00000   6.387E-03   0.000E+00   9.928E-01
