 # M = 0.60 Mo, Y = 0.2700, Z = 2.00000E-02, alpha = 1.68, X_D = 2.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  4.94380544   0.710   0.54916   3.60256   6.08949  -1.02744   0.00000   8.790E-01   0.000E+00   1.210E-01
   2  5.06147552   0.710   0.54123   3.60258   6.09336  -1.01579   0.00000   8.815E-01   0.000E+00   1.185E-01
   3  5.15396522   0.710   0.53379   3.60260   6.09700  -1.00487   0.00000   8.854E-01   0.000E+00   1.146E-01
   4  5.23017440   0.710   0.52700   3.60263   6.10032  -0.99490   0.00000   8.909E-01   0.000E+00   1.091E-01
   5  5.29498576   0.710   0.52026   3.60265   6.10361  -0.98501   0.00000   8.961E-01   0.000E+00   1.039E-01
   6  5.35136922   0.710   0.51409   3.60265   6.10659  -0.97604   0.00000   8.978E-01   0.000E+00   1.021E-01
   7  5.40126656   0.710   0.50793   3.60266   6.10958  -0.96707   0.00000   8.995E-01   0.000E+00   1.003E-01
   8  5.44601729   0.710   0.50178   3.60266   6.11256  -0.95812   0.00000   9.008E-01   0.000E+00   9.896E-02
   9  5.48658452   0.710   0.49570   3.60266   6.11550  -0.94928   0.00000   8.996E-01   0.000E+00   1.003E-01
  10  5.52368400   0.710   0.48962   3.60267   6.11845  -0.94045   0.00000   8.984E-01   0.000E+00   1.015E-01
  11  5.55786219   0.710   0.48354   3.60267   6.12139  -0.93161   0.00000   8.972E-01   0.000E+00   1.028E-01
  12  5.58954574   0.710   0.47712   3.60266   6.12447  -0.92234   0.00000   8.935E-01   0.000E+00   1.065E-01
  13  5.61907418   0.710   0.47065   3.60265   6.12758  -0.91301   0.00000   8.896E-01   0.000E+00   1.104E-01
  14  5.64672212   0.710   0.46418   3.60264   6.13069  -0.90369   0.00000   8.856E-01   0.000E+00   1.144E-01
  15  5.67271479   0.710   0.45727   3.60263   6.13401  -0.89371   0.00000   8.794E-01   0.000E+00   1.206E-01
  16  5.69723925   0.710   0.45003   3.60261   6.13748  -0.88328   0.00000   8.717E-01   0.000E+00   1.283E-01
  17  5.72045253   0.710   0.44280   3.60260   6.14095  -0.87284   0.00000   8.639E-01   0.000E+00   1.361E-01
  18  5.74248775   0.710   0.43496   3.60257   6.14469  -0.86160   0.00000   8.539E-01   0.000E+00   1.461E-01
  19  5.76345873   0.710   0.42650   3.60254   6.14870  -0.84953   0.00000   8.416E-01   0.000E+00   1.584E-01
  20  5.78346355   0.710   0.41805   3.60250   6.15272  -0.83746   0.00000   8.293E-01   0.000E+00   1.707E-01
  21  5.80258732   0.710   0.40840   3.60244   6.15728  -0.82376   0.00000   8.109E-01   0.000E+00   1.891E-01
  22  5.82090440   0.710   0.39832   3.60238   6.16204  -0.80947   0.00000   7.901E-01   0.000E+00   2.099E-01
  23  5.83848008   0.710   0.38755   3.60231   6.16713  -0.79419   0.00000   7.650E-01   0.000E+00   2.350E-01
  24  5.85537207   0.710   0.37555   3.60222   6.17279  -0.77720   0.00000   7.323E-01   0.000E+00   2.677E-01
  25  5.87163156   0.710   0.36270   3.60212   6.17881  -0.75909   0.00000   6.939E-01   0.000E+00   3.061E-01
  26  5.88730422   0.710   0.34844   3.60197   6.18544  -0.73916   0.00000   6.466E-01   0.000E+00   3.534E-01
  27  5.90243094   0.710   0.33263   3.60180   6.19277  -0.71713   0.00000   5.872E-01   0.000E+00   4.128E-01
  28  5.91704846   0.710   0.31558   3.60159   6.20066  -0.69342   0.00000   5.188E-01   0.000E+00   4.812E-01
  29  5.93118997   0.710   0.29697   3.60134   6.20922  -0.66769   0.00000   4.400E-01   0.000E+00   5.600E-01
  30  5.94488549   0.710   0.27689   3.60105   6.21842  -0.64008   0.00000   3.542E-01   0.000E+00   6.458E-01
  31  5.95816229   0.710   0.25559   3.60068   6.22808  -0.61107   0.00000   2.690E-01   0.000E+00   7.310E-01
  32  5.97104521   0.710   0.23373   3.60030   6.23802  -0.58131   0.00000   1.923E-01   0.000E+00   8.077E-01
  33  5.98355696   0.710   0.21171   3.59986   6.24794  -0.55161   0.00000   1.300E-01   0.000E+00   8.700E-01
  34  5.99571833   0.710   0.19003   3.59939   6.25760  -0.52258   0.00000   8.295E-02   0.000E+00   9.171E-01
  35  6.00754840   0.710   0.16903   3.59891   6.26689  -0.49465   0.00000   5.082E-02   0.000E+00   9.492E-01
  36  6.01906475   0.710   0.14889   3.59843   6.27576  -0.46801   0.00000   2.995E-02   0.000E+00   9.701E-01
  37  6.03028359   0.710   0.12966   3.59793   6.28417  -0.44275   0.00000   1.813E-02   0.000E+00   9.819E-01
  38  6.04121990   0.710   0.11141   3.59744   6.29211  -0.41888   0.00000   1.214E-02   0.000E+00   9.879E-01
  39  6.05188757   0.710   0.09408   3.59697   6.29963  -0.39627   0.00000   7.846E-03   0.000E+00   9.922E-01
  40  6.06229948   0.710   0.07749   3.59648   6.30678  -0.37480   0.00000   4.679E-03   0.000E+00   9.953E-01
  41  6.07246759   0.710   0.06172   3.59603   6.31357  -0.35435   0.00000   3.000E-03   0.000E+00   9.970E-01
  42  6.11135290   0.710   0.00480   3.59424   6.33786  -0.28132   0.00000   0.000E+00   0.000E+00   1.000E+00
  43  6.14704087   0.710  -0.04331   3.59265   6.35824  -0.22005   0.00000   0.000E+00   0.000E+00   1.000E+00
  44  6.18001758   0.710  -0.08507   3.59124   6.37590  -0.16694   0.00000   0.000E+00   0.000E+00   1.000E+00
  45  6.21066606   0.710  -0.12178   3.58998   6.39139  -0.12035   0.00000   0.000E+00   0.000E+00   1.000E+00
  46  6.23929350   0.710  -0.15454   3.58885   6.40522  -0.07877   0.00000   0.000E+00   0.000E+00   1.000E+00
  47  6.26615003   0.710  -0.18429   3.58782   6.41775  -0.04107   0.00000   0.000E+00   0.000E+00   1.000E+00
  48  6.29144205   0.710  -0.21114   3.58690   6.42909  -0.00698   0.00000   0.000E+00   0.000E+00   1.000E+00
  49  6.31534184   0.710  -0.23594   3.58605   6.43957   0.02454   0.00000   0.000E+00   0.000E+00   1.000E+00
  50  6.33799472   0.710  -0.25888   3.58527   6.44926   0.05373   0.00000   0.000E+00   0.000E+00   1.000E+00
  51  6.35952437   0.710  -0.28004   3.58456   6.45823   0.08072   0.00000   0.000E+00   0.000E+00   1.000E+00
  52  6.38003693   0.710  -0.29985   3.58389   6.46663   0.10599   0.00000   0.000E+00   0.000E+00   1.000E+00
  53  6.39962418   0.710  -0.31844   3.58327   6.47452   0.12975   0.00000   0.000E+00   0.000E+00   1.000E+00
  54  6.41836601   0.710  -0.33596   3.58269   6.48197   0.15218   0.00000   0.000E+00   0.000E+00   1.000E+00
  55  6.43633240   0.710  -0.35251   3.58215   6.48904   0.17345   0.00000   0.000E+00   0.000E+00   1.000E+00
  56  6.45358496   0.710  -0.36805   3.58165   6.49569   0.19347   0.00000   0.000E+00   0.000E+00   1.000E+00
  57  6.47017827   0.710  -0.38283   3.58119   6.50201   0.21252   0.00000   0.000E+00   0.000E+00   1.000E+00
  58  6.48616084   0.710  -0.39694   3.58075   6.50806   0.23075   0.00000   0.000E+00   0.000E+00   1.000E+00
  59  6.50157606   0.710  -0.41047   3.58033   6.51388   0.24827   0.00000   0.000E+00   0.000E+00   1.000E+00
  60  6.51646282   0.710  -0.42330   3.57994   6.51940   0.26490   0.00000   0.000E+00   0.000E+00   1.000E+00
  61  6.53085616   0.710  -0.43555   3.57957   6.52470   0.28084   0.00000   0.000E+00   0.000E+00   1.000E+00
  62  6.54478774   0.710  -0.44744   3.57921   6.52985   0.29635   0.00000   0.000E+00   0.000E+00   1.000E+00
  63  6.55828627   0.710  -0.45873   3.57888   6.53473   0.31105   0.00000   0.000E+00   0.000E+00   1.000E+00
  64  6.57137785   0.710  -0.46966   3.57857   6.53947   0.32533   0.00000   0.000E+00   0.000E+00   1.000E+00
  65  6.58408633   0.710  -0.48020   3.57827   6.54406   0.33915   0.00000   0.000E+00   0.000E+00   1.000E+00
  66  6.59643347   0.710  -0.49030   3.57798   6.54846   0.35239   0.00000   0.000E+00   0.000E+00   1.000E+00
  67  6.60843925   0.710  -0.50021   3.57771   6.55277   0.36538   0.00000   0.000E+00   0.000E+00   1.000E+00
  68  6.62012206   0.710  -0.50960   3.57745   6.55687   0.37776   0.00000   0.000E+00   0.000E+00   1.000E+00
  69  6.63149881   0.710  -0.51887   3.57719   6.56092   0.38997   0.00000   0.000E+00   0.000E+00   1.000E+00
  70  6.64258512   0.710  -0.52770   3.57695   6.56479   0.40161   0.00000   0.000E+00   0.000E+00   1.000E+00
  71  6.65339546   0.710  -0.53640   3.57672   6.56859   0.41310   0.00000   0.000E+00   0.000E+00   1.000E+00
  72  6.66394323   0.710  -0.54476   3.57650   6.57226   0.42415   0.00000   0.000E+00   0.000E+00   1.000E+00
  73  6.67424090   0.710  -0.55291   3.57628   6.57584   0.43493   0.00000   0.000E+00   0.000E+00   1.000E+00
  74  6.68430003   0.710  -0.56090   3.57607   6.57935   0.44550   0.00000   0.000E+00   0.000E+00   1.000E+00
  75  6.69413145   0.710  -0.56855   3.57587   6.58271   0.45563   0.00000   0.000E+00   0.000E+00   1.000E+00
  76  6.70374521   0.710  -0.57620   3.57567   6.58607   0.46576   0.00000   0.000E+00   0.000E+00   1.000E+00
  77  6.71315077   0.710  -0.58345   3.57549   6.58925   0.47536   0.00000   0.000E+00   0.000E+00   1.000E+00
  78  6.72235694   0.710  -0.59063   3.57530   6.59241   0.48488   0.00000   0.000E+00   0.000E+00   1.000E+00
  79  6.73137200   0.710  -0.59770   3.57512   6.59552   0.49425   0.00000   0.000E+00   0.000E+00   1.000E+00
  80  6.74020372   0.710  -0.60444   3.57494   6.59849   0.50320   0.00000   0.000E+00   0.000E+00   1.000E+00
  81  6.74885942   0.710  -0.61117   3.57477   6.60146   0.51215   0.00000   0.000E+00   0.000E+00   1.000E+00
  82  6.75734597   0.710  -0.61772   3.57460   6.60434   0.52084   0.00000   0.000E+00   0.000E+00   1.000E+00
  83  6.76566986   0.710  -0.62405   3.57444   6.60713   0.52925   0.00000   0.000E+00   0.000E+00   1.000E+00
  84  6.77383721   0.710  -0.63038   3.57427   6.60992   0.53765   0.00000   0.000E+00   0.000E+00   1.000E+00
  85  6.78185379   0.710  -0.63651   3.57411   6.61262   0.54580   0.00000   0.000E+00   0.000E+00   1.000E+00
  86  6.78972507   0.710  -0.64244   3.57396   6.61524   0.55370   0.00000   0.000E+00   0.000E+00   1.000E+00
  87  6.79745623   0.710  -0.64838   3.57381   6.61786   0.56161   0.00000   0.000E+00   0.000E+00   1.000E+00
  88  6.80505216   0.710  -0.65418   3.57366   6.62040   0.56936   0.00000   0.000E+00   0.000E+00   1.000E+00
  89  6.81251752   0.710  -0.65975   3.57352   6.62280   0.57685   0.00000   0.000E+00   0.000E+00   1.000E+00
  90  6.81985672   0.710  -0.66532   3.57338   6.62520   0.58433   0.00000   0.000E+00   0.000E+00   1.000E+00
  91  6.82707395   0.710  -0.67090   3.57324   6.62760   0.59182   0.00000   0.000E+00   0.000E+00   1.000E+00
  92  6.83417320   0.710  -0.67613   3.57311   6.62980   0.59893   0.00000   0.000E+00   0.000E+00   1.000E+00
  93  6.84115827   0.710  -0.68135   3.57298   6.63200   0.60603   0.00000   0.000E+00   0.000E+00   1.000E+00
  94  6.84803276   0.710  -0.68658   3.57285   6.63420   0.61314   0.00000   0.000E+00   0.000E+00   1.000E+00
  95  6.85480013   0.710  -0.69168   3.57272   6.63632   0.62010   0.00000   0.000E+00   0.000E+00   1.000E+00
  96  6.86146367   0.710  -0.69658   3.57260   6.63834   0.62685   0.00000   0.000E+00   0.000E+00   1.000E+00
  97  6.86802651   0.710  -0.70149   3.57248   6.64035   0.63359   0.00000   0.000E+00   0.000E+00   1.000E+00
  98  6.87449165   0.710  -0.70639   3.57236   6.64237   0.64034   0.00000   0.000E+00   0.000E+00   1.000E+00
  99  6.88086195   0.710  -0.71112   3.57225   6.64429   0.64689   0.00000   0.000E+00   0.000E+00   1.000E+00
 100  6.88714016   0.710  -0.71572   3.57213   6.64614   0.65330   0.00000   0.000E+00   0.000E+00   1.000E+00
 101  6.89332891   0.710  -0.72032   3.57202   6.64799   0.65970   0.00000   0.000E+00   0.000E+00   1.000E+00
