 # M = 0.70 Mo, Y = 0.2700, Z = 2.00000E-02, alpha = 1.68, X_D = 2.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  4.95633862   0.710   0.69020   3.61347   6.10641  -1.10805   0.00000   8.740E-01   0.000E+00   1.260E-01
   2  5.05477739   0.710   0.68303   3.61358   6.11009  -1.09701   0.00000   8.797E-01   0.000E+00   1.203E-01
   3  5.13497483   0.710   0.67594   3.61369   6.11372  -1.08609   0.00000   8.853E-01   0.000E+00   1.147E-01
   4  5.20264602   0.710   0.66983   3.61377   6.11683  -1.07674   0.00000   8.900E-01   0.000E+00   1.100E-01
   5  5.26118047   0.710   0.66372   3.61385   6.11995  -1.06739   0.00000   8.947E-01   0.000E+00   1.053E-01
   6  5.31275447   0.710   0.65774   3.61393   6.12300  -1.05822   0.00000   8.981E-01   0.000E+00   1.019E-01
   7  5.35884886   0.710   0.65206   3.61401   6.12590  -1.04950   0.00000   8.984E-01   0.000E+00   1.016E-01
   8  5.40051699   0.710   0.64638   3.61409   6.12881  -1.04079   0.00000   8.987E-01   0.000E+00   1.013E-01
   9  5.43853495   0.710   0.64070   3.61417   6.13171  -1.03207   0.00000   8.990E-01   0.000E+00   1.010E-01
  10  5.47349107   0.710   0.63490   3.61424   6.13465  -1.02323   0.00000   8.970E-01   0.000E+00   1.030E-01
  11  5.50584199   0.710   0.62909   3.61430   6.13759  -1.01439   0.00000   8.950E-01   0.000E+00   1.050E-01
  12  5.53594922   0.710   0.62329   3.61437   6.14053  -1.00555   0.00000   8.930E-01   0.000E+00   1.070E-01
  13  5.56410392   0.710   0.61723   3.61444   6.14359  -0.99634   0.00000   8.894E-01   0.000E+00   1.106E-01
  14  5.59054398   0.710   0.61094   3.61450   6.14678  -0.98677   0.00000   8.842E-01   0.000E+00   1.158E-01
  15  5.61546632   0.710   0.60464   3.61457   6.14996  -0.97720   0.00000   8.789E-01   0.000E+00   1.211E-01
  16  5.63903575   0.710   0.59829   3.61464   6.15318  -0.96756   0.00000   8.735E-01   0.000E+00   1.265E-01
  17  5.66139164   0.710   0.59112   3.61472   6.15680  -0.95668   0.00000   8.647E-01   0.000E+00   1.353E-01
  18  5.68265284   0.710   0.58394   3.61480   6.16042  -0.94580   0.00000   8.559E-01   0.000E+00   1.441E-01
  19  5.70292159   0.710   0.57677   3.61487   6.16404  -0.93492   0.00000   8.470E-01   0.000E+00   1.530E-01
  20  5.72228641   0.710   0.56844   3.61494   6.16822  -0.92237   0.00000   8.330E-01   0.000E+00   1.670E-01
  21  5.74082450   0.710   0.55995   3.61501   6.17247  -0.90960   0.00000   8.183E-01   0.000E+00   1.817E-01
  22  5.75860357   0.710   0.55130   3.61508   6.17681  -0.89660   0.00000   8.027E-01   0.000E+00   1.973E-01
  23  5.77568335   0.710   0.54112   3.61514   6.18188  -0.88136   0.00000   7.785E-01   0.000E+00   2.215E-01
  24  5.79211675   0.710   0.53093   3.61520   6.18695  -0.86613   0.00000   7.543E-01   0.000E+00   2.457E-01
  25  5.80795093   0.710   0.51930   3.61527   6.19274  -0.84875   0.00000   7.202E-01   0.000E+00   2.798E-01
  26  5.82322805   0.710   0.50715   3.61533   6.19878  -0.83060   0.00000   6.825E-01   0.000E+00   3.175E-01
  27  5.83798599   0.710   0.49333   3.61537   6.20559  -0.81015   0.00000   6.326E-01   0.000E+00   3.674E-01
  28  5.85225886   0.710   0.47877   3.61541   6.21275  -0.78865   0.00000   5.771E-01   0.000E+00   4.229E-01
  29  5.86607756   0.710   0.46244   3.61543   6.22075  -0.76465   0.00000   5.077E-01   0.000E+00   4.923E-01
  30  5.87947008   0.710   0.44479   3.61542   6.22932  -0.73891   0.00000   4.305E-01   0.000E+00   5.695E-01
  31  5.89246194   0.710   0.42602   3.61539   6.23841  -0.71164   0.00000   3.488E-01   0.000E+00   6.512E-01
  32  5.90507641   0.710   0.40628   3.61532   6.24792  -0.68311   0.00000   2.674E-01   0.000E+00   7.326E-01
  33  5.91733480   0.710   0.38591   3.61521   6.25765  -0.65390   0.00000   1.932E-01   0.000E+00   8.068E-01
  34  5.92925666   0.710   0.36541   3.61507   6.26740  -0.62464   0.00000   1.319E-01   0.000E+00   8.681E-01
  35  5.94085998   0.710   0.34513   3.61488   6.27697  -0.59595   0.00000   8.546E-02   0.000E+00   9.145E-01
  36  5.95216134   0.710   0.32542   3.61467   6.28620  -0.56825   0.00000   5.318E-02   0.000E+00   9.468E-01
  37  5.96317605   0.710   0.30638   3.61443   6.29503  -0.54177   0.00000   3.230E-02   0.000E+00   9.677E-01
  38  5.97391830   0.710   0.28819   3.61417   6.30341  -0.51660   0.00000   1.928E-02   0.000E+00   9.807E-01
  39  5.98440124   0.710   0.27076   3.61389   6.31137  -0.49268   0.00000   1.129E-02   0.000E+00   9.887E-01
  40  5.99463710   0.710   0.25416   3.61360   6.31892  -0.46998   0.00000   6.514E-03   0.000E+00   9.935E-01
  41  6.00463725   0.710   0.23822   3.61330   6.32611  -0.44838   0.00000   4.000E-03   0.000E+00   9.960E-01
  42  6.04443768   0.710   0.17854   3.61195   6.35265  -0.36864   0.00000   8.454E-04   0.000E+00   9.992E-01
  43  6.08089489   0.710   0.12785   3.61058   6.37477  -0.30217   0.00000   0.000E+00   0.000E+00   1.000E+00
  44  6.11452728   0.710   0.08395   3.60926   6.39367  -0.24537   0.00000   0.000E+00   0.000E+00   1.000E+00
  45  6.14574128   0.710   0.04531   3.60800   6.41015  -0.19584   0.00000   0.000E+00   0.000E+00   1.000E+00
  46  6.17486149   0.710   0.01085   3.60685   6.42480  -0.15182   0.00000   0.000E+00   0.000E+00   1.000E+00
  47  6.20215123   0.710  -0.02002   3.60581   6.43787  -0.11253   0.00000   0.000E+00   0.000E+00   1.000E+00
  48  6.22782708   0.710  -0.04823   3.60483   6.44980  -0.07668   0.00000   0.000E+00   0.000E+00   1.000E+00
  49  6.25206931   0.710  -0.07401   3.60393   6.46067  -0.04399   0.00000   0.000E+00   0.000E+00   1.000E+00
  50  6.27502960   0.710  -0.09787   3.60309   6.47073  -0.01373   0.00000   0.000E+00   0.000E+00   1.000E+00
  51  6.29683672   0.710  -0.12006   3.60231   6.48008   0.01439   0.00000   0.000E+00   0.000E+00   1.000E+00
  52  6.31760101   0.710  -0.14065   3.60157   6.48874   0.04045   0.00000   0.000E+00   0.000E+00   1.000E+00
  53  6.33741766   0.710  -0.15993   3.60089   6.49687   0.06489   0.00000   0.000E+00   0.000E+00   1.000E+00
  54  6.35636940   0.710  -0.17811   3.60024   6.50453   0.08792   0.00000   0.000E+00   0.000E+00   1.000E+00
  55  6.37452860   0.710  -0.19532   3.59962   6.51177   0.10969   0.00000   0.000E+00   0.000E+00   1.000E+00
  56  6.39195888   0.710  -0.21147   3.59904   6.51857   0.13015   0.00000   0.000E+00   0.000E+00   1.000E+00
  57  6.40871651   0.710  -0.22686   3.59848   6.52503   0.14959   0.00000   0.000E+00   0.000E+00   1.000E+00
  58  6.42485148   0.710  -0.24151   3.59796   6.53120   0.16814   0.00000   0.000E+00   0.000E+00   1.000E+00
  59  6.44040842   0.710  -0.25554   3.59746   6.53711   0.18591   0.00000   0.000E+00   0.000E+00   1.000E+00
  60  6.45542730   0.710  -0.26899   3.59698   6.54277   0.20291   0.00000   0.000E+00   0.000E+00   1.000E+00
  61  6.46994412   0.710  -0.28167   3.59653   6.54812   0.21903   0.00000   0.000E+00   0.000E+00   1.000E+00
  62  6.48399134   0.710  -0.29396   3.59610   6.55331   0.23465   0.00000   0.000E+00   0.000E+00   1.000E+00
  63  6.49759841   0.710  -0.30583   3.59567   6.55830   0.24969   0.00000   0.000E+00   0.000E+00   1.000E+00
  64  6.51079207   0.710  -0.31708   3.59528   6.56306   0.26401   0.00000   0.000E+00   0.000E+00   1.000E+00
  65  6.52359671   0.710  -0.32811   3.59489   6.56773   0.27805   0.00000   0.000E+00   0.000E+00   1.000E+00
  66  6.53603460   0.710  -0.33857   3.59452   6.57215   0.29135   0.00000   0.000E+00   0.000E+00   1.000E+00
  67  6.54812617   0.710  -0.34883   3.59416   6.57648   0.30439   0.00000   0.000E+00   0.000E+00   1.000E+00
