! MOLECULE
NS
! MOLECULAR WEIGHT
46
! NUMBER OF ENERGY LEVELS
514
! LEVEL + ENERGY(cm^-1) + WEIGHT + QUANTUM NUMBERS 
128  248.5801000    34.0    17_1_18_17
129  248.5817000    36.0    17_1_18_18
130  248.5833000    38.0    17_1_18_19
131  248.7406000    10.0      5_-1_6_5
132  248.7406000    10.0       5_1_6_5
133  248.7410000    12.0      5_-1_6_6
134  248.7410000    12.0       5_1_6_6
135  248.7415000    14.0      5_-1_6_7
136  248.7416000    14.0       5_1_6_7
137  258.8163000    12.0       6_1_7_6
138  258.8164000    12.0      6_-1_7_6
139  258.8166000    14.0       6_1_7_7
140  258.8167000    14.0      6_-1_7_7
141  258.8171000    16.0      6_-1_7_8
142  258.8171000    16.0       6_1_7_8
143  270.4415000    14.0      7_-1_8_7
144  270.4416000    14.0       7_1_8_7
145  270.4418000    16.0      7_-1_8_8
146  270.4419000    16.0       7_1_8_8
147  270.4422000    18.0      7_-1_8_9
148  270.4423000    18.0       7_1_8_9
149  276.7818000    40.0    18_1_19_20
150  276.7831000    38.0    18_1_19_19
151  276.7844000    36.0    18_1_19_18
152  277.0315000    36.0   18_-1_19_18
153  277.0330000    38.0   18_-1_19_19
154  277.0347000    40.0   18_-1_19_20
155  283.6161000    16.0       8_1_9_8
156  283.6162000    16.0      8_-1_9_8
157  283.6163000    18.0       8_1_9_9
158  283.6164000    18.0      8_-1_9_9
159  283.6166000    20.0      8_1_9_10
160  283.6167000    20.0     8_-1_9_10
161  298.3396000    18.0     9_-1_10_9
162  298.3398000    18.0      9_1_10_9
163  298.3398000    20.0    9_-1_10_10
164  298.3400000    20.0     9_1_10_10
165  298.3401000    22.0    9_-1_10_11
166  298.3403000    22.0     9_1_10_11
167  306.7542000    42.0   19_-1_20_21
168  306.7555000    40.0   19_-1_20_20
169  306.7568000    38.0   19_-1_20_19
170  307.0169000    38.0    19_1_20_19
171  307.0184000    40.0    19_1_20_20
172  307.0200000    42.0    19_1_20_21
173  314.6119000    20.0    10_1_11_10
174  314.6121000    22.0    10_1_11_11
175  314.6121000    20.0   10_-1_11_10
176  314.6123000    22.0   10_-1_11_11
177  314.6123000    24.0    10_1_11_12
178  314.6125000    24.0   10_-1_11_12
179  332.4326000    22.0   11_-1_12_11
180  332.4327000    24.0   11_-1_12_12
181  332.4328000    22.0    11_1_12_11
182  332.4329000    26.0   11_-1_12_13
183  332.4330000    24.0    11_1_12_12
184  332.4332000    26.0    11_1_12_13
185  338.2601000    44.0    20_1_21_22
186  338.2614000    42.0    20_1_21_21
187  338.2627000    40.0    20_1_21_20
188  338.5356000    40.0   20_-1_21_20
189  338.5371000    42.0   20_-1_21_21
190  338.5388000    44.0   20_-1_21_22
191  351.8013000    24.0    13_1_13_12
192  351.8014000    26.0    13_1_13_13
193  351.8016000    28.0    13_1_13_14
194  351.8017000    24.0   13_-1_13_12
195  351.8018000    26.0   13_-1_13_13
196  351.8020000    28.0   13_-1_13_14
197  371.2987000    46.0   21_-1_22_23
198  371.3000000    44.0   21_-1_22_22
199  371.3013000    42.0   21_-1_22_21
200  371.5872000    42.0    21_1_22_21
201  371.5887000    44.0    21_1_22_22
202  371.5903000    46.0    21_1_22_23
203  372.7177000    26.0   14_-1_14_13
204  372.7178000    28.0   14_-1_14_14
205  372.7180000    30.0   14_-1_14_15
206  372.7181000    26.0    14_1_14_13
207  372.7182000    28.0    14_1_14_14
208  372.7184000    30.0    14_1_14_15
209  395.1813000    28.0    15_1_15_14
210  395.1814000    30.0    15_1_15_15
211  395.1816000    32.0    15_1_15_16
212  395.1818000    28.0   15_-1_15_14
213  395.1819000    30.0   15_-1_15_15
214  395.1821000    32.0   15_-1_15_16
215  405.8696000    48.0    22_1_23_24
216  405.8709000    46.0    22_1_23_23
217  405.8722000    44.0    22_1_23_22
218  406.1709000    44.0   22_-1_23_22
219  406.1724000    46.0   22_-1_23_23
220  406.1741000    48.0   22_-1_23_24
221  419.1917000    30.0   16_-1_16_15
222  419.1918000    32.0   16_-1_16_16
223  419.1919000    34.0   16_-1_16_17
224  419.1924000    30.0    16_1_16_15
225  419.1924000    32.0    16_1_16_16
226  419.1926000    34.0    16_1_16_17
227  441.9721000    50.0   23_-1_24_25
228  441.9734000    48.0   23_-1_24_24
229  441.9747000    46.0   23_-1_24_23
230  442.2862000    46.0    23_1_24_23
231  442.2877000    48.0    23_1_24_24
232  442.2894000    50.0    23_1_24_25
233  444.7484000    32.0    17_1_17_16
234  444.7485000    34.0    17_1_17_17
235  444.7486000    36.0    17_1_17_18
236  444.7492000    34.0   17_-1_17_17
237  444.7492000    32.0   17_-1_17_16
238  444.7494000    36.0   17_-1_17_18
239  471.8508000    34.0   18_-1_18_17
240  471.8509000    36.0   18_-1_18_18
241  471.8510000    38.0   18_-1_18_19
242  471.8518000    34.0    18_1_18_17
243  471.8518000    36.0    18_1_18_18
244  471.8519000    38.0    18_1_18_19
245  479.6055000    52.0    24_1_25_26
246  479.6068000    50.0    24_1_25_25
247  479.6081000    48.0    24_1_25_24
248  479.9323000    48.0   24_-1_25_24
249  479.9338000    50.0   24_-1_25_25
250  479.9355000    52.0   24_-1_25_26
251  500.4985000    36.0    19_1_19_18
252  500.4985000    38.0    19_1_19_19
253  500.4986000    40.0    19_1_19_20
254  500.4996000    36.0   19_-1_19_18
255  500.4996000    38.0   19_-1_19_19
256  500.4997000    40.0   19_-1_19_20
257  518.7690000    54.0   25_-1_26_27
258  518.7703000    52.0   25_-1_26_26
259  518.7716000    50.0   25_-1_26_25
260  519.1086000    50.0    25_1_26_25
