 # M = 0.80 Mo, Y = 0.2700, Z = 2.00000E-02, alpha = 1.68, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  4.99183377   0.710   0.85039   3.62050   6.09801  -1.24724   0.00000   9.280E-01   0.000E+00   7.190E-02
   2  5.11309731   0.710   0.84322   3.62068   6.10181  -1.23583   0.00000   9.306E-01   0.000E+00   6.909E-02
   3  5.20778719   0.710   0.83659   3.62084   6.10533  -1.22526   0.00000   9.339E-01   0.000E+00   6.581E-02
   4  5.28548201   0.710   0.83054   3.62098   6.10854  -1.21564   0.00000   9.378E-01   0.000E+00   6.201E-02
   5  5.35136395   0.710   0.82466   3.62112   6.11165  -1.20627   0.00000   9.414E-01   0.000E+00   5.853E-02
   6  5.40855554   0.710   0.81954   3.62125   6.11438  -1.19808   0.00000   9.436E-01   0.000E+00   5.647E-02
   7  5.45908454   0.710   0.81441   3.62137   6.11711  -1.18988   0.00000   9.458E-01   0.000E+00   5.441E-02
   8  5.50434257   0.710   0.80928   3.62150   6.11984  -1.18169   0.00000   9.479E-01   0.000E+00   5.235E-02
   9  5.54532618   0.710   0.80434   3.62161   6.12244  -1.17386   0.00000   9.477E-01   0.000E+00   5.240E-02
  10  5.58277354   0.710   0.79942   3.62172   6.12505  -1.16605   0.00000   9.475E-01   0.000E+00   5.251E-02
  11  5.61724674   0.710   0.79449   3.62183   6.12765  -1.15823   0.00000   9.472E-01   0.000E+00   5.262E-02
  12  5.64918363   0.710   0.78950   3.62195   6.13028  -1.15033   0.00000   9.466E-01   0.000E+00   5.306E-02
  13  5.67893199   0.710   0.78435   3.62207   6.13301  -1.14215   0.00000   9.451E-01   0.000E+00   5.457E-02
