 # M = 0.95 Mo, Y = 0.2700, Z = 2.00000E-02, alpha = 1.68, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  4.95941366   0.710   1.00378   3.62902   6.11170  -1.35296   0.00000   9.260E-01   0.000E+00   7.410E-02
   2  5.07380579   0.710   0.99698   3.62925   6.11543  -1.34176   0.00000   9.309E-01   0.000E+00   6.891E-02
   3  5.16426268   0.710   0.99059   3.62946   6.11892  -1.33125   0.00000   9.355E-01   0.000E+00   6.423E-02
   4  5.23908795   0.710   0.98494   3.62963   6.12202  -1.32195   0.00000   9.396E-01   0.000E+00   6.044E-02
   5  5.30289635   0.710   0.97928   3.62981   6.12511  -1.31266   0.00000   9.436E-01   0.000E+00   5.665E-02
   6  5.35851954   0.710   0.97430   3.62997   6.12783  -1.30449   0.00000   9.454E-01   0.000E+00   5.485E-02
   7  5.40782072   0.710   0.96938   3.63012   6.13052  -1.29644   0.00000   9.469E-01   0.000E+00   5.326E-02
   8  5.45209143   0.710   0.96446   3.63028   6.13320  -1.28838   0.00000   9.484E-01   0.000E+00   5.166E-02
   9  5.49226387   0.710   0.95963   3.63043   6.13584  -1.28046   0.00000   9.488E-01   0.000E+00   5.120E-02
  10  5.52903292   0.710   0.95485   3.63057   6.13844  -1.27263   0.00000   9.486E-01   0.000E+00   5.154E-02
  11  5.56293050   0.710   0.95007   3.63072   6.14105  -1.26481   0.00000   9.483E-01   0.000E+00   5.188E-02
  12  5.59437279   0.710   0.94530   3.63087   6.14365  -1.25698   0.00000   9.481E-01   0.000E+00   5.223E-02
  13  5.62369157   0.710   0.94027   3.63101   6.14638  -1.24879   0.00000   9.466E-01   0.000E+00   5.362E-02
  14  5.65115563   0.710   0.93518   3.63116   6.14914  -1.24050   0.00000   9.448E-01   0.000E+00   5.531E-02
  15  5.67698572   0.710   0.93009   3.63131   6.15190  -1.23221   0.00000   9.430E-01   0.000E+00   5.700E-02
  16  5.70136540   0.710   0.92500   3.63145   6.15466  -1.22392   0.00000   9.412E-01   0.000E+00   5.869E-02
  17  5.72444893   0.710   0.91930   3.63162   6.15775  -1.21464   0.00000   9.379E-01   0.000E+00   6.191E-02
  18  5.74636721   0.710   0.91351   3.63178   6.16088  -1.20523   0.00000   9.344E-01   0.000E+00   6.534E-02
  19  5.76723225   0.710   0.90773   3.63195   6.16401  -1.19582   0.00000   9.308E-01   0.000E+00   6.877E-02
  20  5.78714064   0.710   0.90169   3.63212   6.16727  -1.18603   0.00000   9.267E-01   0.000E+00   7.281E-02
  21  5.80617627   0.710   0.89472   3.63230   6.17102  -1.17479   0.00000   9.205E-01   0.000E+00   7.917E-02
