 # M = 1.80 Mo, Y = 0.2700, Z = 2.00000E-02, alpha = 1.68, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  5.03628620   0.710   1.49946   3.65371   6.18521  -1.67735   0.00000   9.260E-01   0.000E+00   7.420E-02
   2  5.08018608   0.710   1.49555   3.65397   6.18763  -1.67010   0.00000   9.268E-01   0.000E+00   7.335E-02
   3  5.12005297   0.710   1.49164   3.65422   6.19004  -1.66285   0.00000   9.275E-01   0.000E+00   7.251E-02
   4  5.15656593   0.710   1.48773   3.65448   6.19246  -1.65560   0.00000   9.283E-01   0.000E+00   7.166E-02
   5  5.19024574   0.710   1.48381   3.65473   6.19488  -1.64834   0.00000   9.289E-01   0.000E+00   7.101E-02
   6  5.22150059   0.710   1.47982   3.65498   6.19731  -1.64104   0.00000   9.280E-01   0.000E+00   7.204E-02
   7  5.25065635   0.710   1.47582   3.65522   6.19974  -1.63374   0.00000   9.270E-01   0.000E+00   7.308E-02
   8  5.27797731   0.710   1.47183   3.65546   6.20217  -1.62644   0.00000   9.261E-01   0.000E+00   7.412E-02
   9  5.30368079   0.710   1.46783   3.65571   6.20460  -1.61914   0.00000   9.251E-01   0.000E+00   7.515E-02
  10  5.32794765   0.710   1.46351   3.65596   6.20722  -1.61129   0.00000   9.225E-01   0.000E+00   7.767E-02
  11  5.35093002   0.710   1.45913   3.65621   6.20987  -1.60334   0.00000   9.197E-01   0.000E+00   8.043E-02
  12  5.37275708   0.710   1.45475   3.65647   6.21252  -1.59540   0.00000   9.168E-01   0.000E+00   8.320E-02
  13  5.39353943   0.710   1.45037   3.65672   6.21517  -1.58745   0.00000   9.140E-01   0.000E+00   8.596E-02
  14  5.41337253   0.710   1.44551   3.65700   6.21808  -1.57871   0.00000   9.096E-01   0.000E+00   9.035E-02
  15  5.43233932   0.710   1.44041   3.65728   6.22114  -1.56955   0.00000   9.044E-01   0.000E+00   9.558E-02
  16  5.45051233   0.710   1.43531   3.65756   6.22419  -1.56039   0.00000   8.992E-01   0.000E+00   1.008E-01
  17  5.46795534   0.710   1.43021   3.65785   6.22724  -1.55124   0.00000   8.940E-01   0.000E+00   1.060E-01
  18  5.48472473   0.710   1.42424   3.65816   6.23079  -1.54059   0.00000   8.854E-01   0.000E+00   1.146E-01
  19  5.50087061   0.710   1.41808   3.65849   6.23445  -1.52960   0.00000   8.761E-01   0.000E+00   1.239E-01
  20  5.51643768   0.710   1.41192   3.65881   6.23811  -1.51861   0.00000   8.667E-01   0.000E+00   1.333E-01
  21  5.53146601   0.710   1.40504   3.65917   6.24218  -1.50641   0.00000   8.542E-01   0.000E+00   1.458E-01
  22  5.54599165   0.710   1.39743   3.65956   6.24668  -1.49294   0.00000   8.383E-01   0.000E+00   1.617E-01
  23  5.56004714   0.710   1.38982   3.65994   6.25117  -1.47946   0.00000   8.224E-01   0.000E+00   1.776E-01
  24  5.57366197   0.710   1.38093   3.66039   6.25642  -1.46373   0.00000   7.988E-01   0.000E+00   2.012E-01
  25  5.58686292   0.710   1.37153   3.66085   6.26196  -1.44713   0.00000   7.722E-01   0.000E+00   2.278E-01
  26  5.59967442   0.710   1.36117   3.66135   6.26804  -1.42889   0.00000   7.386E-01   0.000E+00   2.614E-01
  27  5.61211879   0.710   1.34970   3.66190   6.27476  -1.40876   0.00000   6.972E-01   0.000E+00   3.028E-01
  28  5.62421648   0.710   1.33685   3.66250   6.28225  -1.38628   0.00000   6.447E-01   0.000E+00   3.553E-01
  29  5.63598630   0.710   1.32295   3.66315   6.29035  -1.36200   0.00000   5.837E-01   0.000E+00   4.163E-01
  30  5.64744554   0.710   1.30728   3.66387   6.29949  -1.33461   0.00000   5.070E-01   0.000E+00   4.930E-01
  31  5.65861017   0.710   1.29008   3.66464   6.30946  -1.30471   0.00000   4.209E-01   0.000E+00   5.791E-01
  32  5.66949497   0.710   1.27169   3.66546   6.32013  -1.27275   0.00000   3.299E-01   0.000E+00   6.701E-01
  33  5.68011362   0.710   1.25235   3.66630   6.33135  -1.23916   0.00000   2.421E-01   0.000E+00   7.579E-01
  34  5.69047882   0.710   1.23247   3.66713   6.34282  -1.20484   0.00000   1.655E-01   0.000E+00   8.345E-01
  35  5.70060240   0.710   1.21263   3.66795   6.35424  -1.17067   0.00000   1.064E-01   0.000E+00   8.936E-01
  36  5.71049536   0.710   1.19327   3.66874   6.36533  -1.13743   0.00000   6.495E-02   0.000E+00   9.350E-01
  37  5.72016797   0.710   1.17460   3.66948   6.37599  -1.10552   0.00000   3.839E-02   0.000E+00   9.616E-01
  38  5.72962983   0.710   1.15685   3.67018   6.38611  -1.07515   0.00000   2.196E-02   0.000E+00   9.780E-01
  39  5.73888995   0.710   1.13989   3.67081   6.39575  -1.04629   0.00000   1.198E-02   0.000E+00   9.880E-01
  40  5.74795673   0.710   1.12384   3.67142   6.40499  -1.01878   0.00000   6.572E-03   0.000E+00   9.934E-01
  41  5.75683808   0.710   1.10849   3.67197   6.41364  -0.99285   0.00000   3.000E-03   0.000E+00   9.970E-01
  42  5.77329211   0.710   1.08157   3.67294   6.42883  -0.94730   0.00000   1.433E-03   0.000E+00   9.986E-01
  43  5.78914543   0.710   1.05663   3.67380   6.44281  -0.90538   0.00000   0.000E+00   0.000E+00   1.000E+00
  44  5.80444038   0.710   1.03398   3.67457   6.45553  -0.86725   0.00000   0.000E+00   0.000E+00   1.000E+00
