 # M = 0.40 Mo, Y = 0.2700, Z = 2.00000E-02, alpha = 1.68, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  5.04240299   0.710   0.17672   3.56494   6.02880  -0.86504   0.00000   9.790E-01   0.000E+00   2.120E-02
   2  5.26542965   0.710   0.16826   3.56478   6.03253  -0.85382   0.00000   9.415E-01   0.000E+00   5.818E-02
   3  5.41206153   0.710   0.15944   3.56462   6.03644  -0.84210   0.00000   9.377E-01   0.000E+00   6.224E-02
   4  5.52148566   0.710   0.15145   3.56446   6.03997  -0.83152   0.00000   9.414E-01   0.000E+00   5.869E-02
   5  5.60881371   0.710   0.14421   3.56431   6.04315  -0.82195   0.00000   9.448E-01   0.000E+00   5.528E-02
   6  5.68148748   0.710   0.13759   3.56417   6.04606  -0.81321   0.00000   9.481E-01   0.000E+00   5.197E-02
   7  5.74372564   0.710   0.13102   3.56404   6.04894  -0.80455   0.00000   9.511E-01   0.000E+00   4.894E-02
   8  5.79815230   0.710   0.12499   3.56392   6.05159  -0.79658   0.00000   9.517E-01   0.000E+00   4.831E-02
   9  5.84651145   0.710   0.11895   3.56379   6.05424  -0.78860   0.00000   9.524E-01   0.000E+00   4.768E-02
  10  5.89002123   0.710   0.11291   3.56367   6.05689  -0.78063   0.00000   9.529E-01   0.000E+00   4.717E-02
  11  5.92956619   0.710   0.10685   3.56354   6.05955  -0.77266   0.00000   9.520E-01   0.000E+00   4.798E-02
  12  5.96580895   0.710   0.10078   3.56340   6.06220  -0.76470   0.00000   9.511E-01   0.000E+00   4.879E-02
  13  5.99925876   0.710   0.09472   3.56327   6.06485  -0.75673   0.00000   9.502E-01   0.000E+00   4.961E-02
  14  6.03031545   0.710   0.08828   3.56313   6.06766  -0.74829   0.00000   9.484E-01   0.000E+00   5.154E-02
  15  6.05929871   0.710   0.08173   3.56298   6.07052  -0.73970   0.00000   9.463E-01   0.000E+00   5.382E-02
  16  6.08646815   0.710   0.07517   3.56283   6.07337  -0.73111   0.00000   9.441E-01   0.000E+00   5.609E-02
  17  6.11203747   0.710   0.06817   3.56267   6.07642  -0.72196   0.00000   9.410E-01   0.000E+00   5.928E-02
  18  6.13618473   0.710   0.06067   3.56249   6.07968  -0.71215   0.00000   9.367E-01   0.000E+00   6.351E-02
  19  6.15905980   0.710   0.05317   3.56231   6.08295  -0.70235   0.00000   9.325E-01   0.000E+00   6.774E-02
  20  6.18079004   0.710   0.04505   3.56212   6.08647  -0.69176   0.00000   9.269E-01   0.000E+00   7.331E-02
  21  6.20148462   0.710   0.03608   3.56190   6.09035  -0.68008   0.00000   9.194E-01   0.000E+00   8.078E-02
  22  6.22123776   0.710   0.02710   3.56167   6.09423  -0.66840   0.00000   9.119E-01   0.000E+00   8.825E-02
  23  6.24013142   0.710   0.01659   3.56141   6.09877  -0.65475   0.00000   9.002E-01   0.000E+00   9.985E-02
  24  6.25823727   0.710   0.00557   3.56112   6.10353  -0.64045   0.00000   8.872E-01   0.000E+00   1.128E-01
  25  6.27561840   0.710  -0.00691   3.56079   6.10888  -0.62436   0.00000   8.692E-01   0.000E+00   1.308E-01
  26  6.29233060   0.710  -0.02070   3.56041   6.11477  -0.60663   0.00000   8.466E-01   0.000E+00   1.534E-01
  27  6.30842345   0.710  -0.03685   3.55996   6.12168  -0.58587   0.00000   8.126E-01   0.000E+00   1.874E-01
  28  6.32394123   0.710  -0.05497   3.55945   6.12942  -0.56261   0.00000   7.683E-01   0.000E+00   2.317E-01
  29  6.33892361   0.710  -0.07636   3.55882   6.13851  -0.53526   0.00000   7.051E-01   0.000E+00   2.949E-01
  30  6.35340632   0.710  -0.10201   3.55803   6.14940  -0.50257   0.00000   6.140E-01   0.000E+00   3.860E-01
  31  6.36742161   0.710  -0.13228   3.55705   6.16212  -0.46431   0.00000   4.907E-01   0.000E+00   5.093E-01
  32  6.38099871   0.710  -0.16671   3.55589   6.17654  -0.42101   0.00000   3.473E-01   0.000E+00   6.527E-01
