   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    0.70000  0.00000000000E+00   1.61747   3.67649  11.82184 -30.00000   0.47730   0.00000  0.00000E+00  9.43790E-01  4.28200E-02  1.19600E-03     0.59390     0.42910     0.00000     0.00030    -0.02308  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0000000000
        2    0.70000  1.53490000000E+04   1.62317   3.67600  11.82567 -30.00000   0.47730   0.00000  0.00000E+00  9.43530E-01  4.30700E-02  1.20200E-03     0.57100     0.42610     0.00000     0.00030     0.00292  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0003557828
        3    0.70000  3.45360000000E+04   1.62712   3.67573  11.82819 -30.00000   0.47730   0.00000  0.00000E+00  9.43200E-01  4.34000E-02  1.20900E-03     0.56270     0.42400     0.00000     0.00030     0.01330  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0008005288
        4    0.70000  5.85190000000E+04   1.62691   3.67583  11.82788 -30.00000   0.47730   0.00000  0.00000E+00  9.42780E-01  4.38000E-02  1.21800E-03     0.56650     0.42450     0.00000     0.00030     0.00894  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0013564438
        5    0.70000  8.84980000000E+04   1.62418   3.67612  11.82593 -30.00000   0.47730   0.00000  0.00000E+00  9.42260E-01  4.43100E-02  1.22900E-03     0.57120     0.42680     0.00000     0.00030     0.00203  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0020513433
        6    0.70000  1.25972000000E+05   1.62143   3.67639  11.82403 -30.00000   0.47730   0.00000  0.00000E+00  9.41610E-01  4.49400E-02  1.24300E-03     0.57320     0.42900     0.00000     0.00030    -0.00220  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0029199736
        7    0.70000  1.72814000000E+05   1.61969   3.67655  11.82284 -30.00000   0.47730   0.00000  0.00000E+00  9.40800E-01  4.57300E-02  1.26200E-03     0.57340     0.43060     0.00000     0.00030    -0.00392  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0040057498
        8    0.70000  2.31367000000E+05   1.61878   3.67663  11.82221 -30.00000   0.47730   0.00000  0.00000E+00  9.39790E-01  4.67100E-02  1.28500E-03     0.57310     0.43160     0.00000     0.00030    -0.00459  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0053629817
        9    0.70000  3.04558000000E+05   1.61835   3.67667  11.82193 -30.00000   0.47730   0.00000  0.00000E+00  9.38530E-01  4.79400E-02  1.31400E-03     0.57270     0.43240     0.00000     0.00030    -0.00495  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0070595158
       10    0.70000  3.96046000000E+05   1.61822   3.67668  11.82185 -30.00000   0.47730   0.00000  0.00000E+00  9.36950E-01  4.94800E-02  1.35200E-03     0.57240     0.43290     0.00000     0.00030    -0.00518  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0091801659
       11    0.70000  5.10406000000E+05   1.61832   3.67666  11.82193 -30.00000   0.47730   0.00000  0.00000E+00  9.35160E-01  5.12200E-02  1.39700E-03     0.57220     0.43330     0.00000     0.00030    -0.00528  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0118309787
       12    0.70000  6.53356000000E+05   1.61863   3.67662  11.82217 -30.00000   0.47730   0.00000  0.00000E+00  9.35150E-01  5.12300E-02  1.40000E-03     0.57210     0.43360     0.00000     0.00030    -0.00545  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0151444946
       13    0.70000  8.32046000000E+05   1.61913   3.67656  11.82255 -30.00000   0.47730   0.00000  0.00000E+00  9.33520E-01  5.28100E-02  1.44300E-03     0.57210     0.43350     0.00000     0.00030    -0.00544  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0192864474
       14    0.70000  1.05540600000E+06   1.61979   3.67648  11.82303 -30.00000   0.47730   0.00000  0.00000E+00  9.30810E-01  5.54300E-02  1.51600E-03     0.57210     0.43350     0.00000     0.00030    -0.00539  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0244638305
       15    0.70000  1.33460600000E+06   1.62061   3.67639  11.82362 -30.00000   0.47730   0.00000  0.00000E+00  9.27580E-01  5.85600E-02  1.60800E-03     0.57200     0.43350     0.00000     0.00030    -0.00526  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0309355593
       16    0.70000  1.67327600000E+06   1.62154   3.67629  11.82429 -30.00000   0.47730   0.00000  0.00000E+00  9.23520E-01  6.24800E-02  1.73000E-03     0.57180     0.43350     0.00000     0.00030    -0.00511  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0387857757
       17    0.70000  2.00052600000E+06   1.62238   3.67620  11.82488 -30.00000   0.47730   0.00000  0.00000E+00  9.19600E-01  6.62600E-02  1.85600E-03     0.57150     0.43380     0.00000     0.00030    -0.00499  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0463712817
       18    0.70000  2.32695600000E+06   1.62316   3.67613  11.82542 -30.00000   0.47730   0.00000  0.00000E+00  9.15770E-01  6.99500E-02  1.98700E-03     0.57110     0.43410     0.00000     0.00030    -0.00493  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0539377804
       19    0.70000  2.66020600000E+06   1.62388   3.67606  11.82592 -30.00000   0.47730   0.00000  0.00000E+00  9.11870E-01  7.36900E-02  2.12900E-03     0.57060     0.43450     0.00000     0.00030    -0.00485  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0616623637
       20    0.70000  2.99375600000E+06   1.62454   3.67600  11.82637 -30.00000   0.47730   0.00000  0.00000E+00  9.07890E-01  7.75000E-02  2.28000E-03     0.57000     0.43490     0.00000     0.00030    -0.00473  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0693939008
       21    0.70000  3.32109600000E+06   1.62512   3.67595  11.82676 -30.00000   0.47730   0.00000  0.00000E+00  9.04080E-01  8.11400E-02  2.43300E-03     0.56940     0.43550     0.00000     0.00030    -0.00470  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0769814929
       22    0.70000  3.65607600000E+06   1.62567   3.67590  11.82712 -30.00000   0.47730   0.00000  0.00000E+00  9.00400E-01  8.46500E-02  2.59000E-03     0.56880     0.43600     0.00000     0.00030    -0.00462  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0847461768
       23    0.70000  4.01006600000E+06   1.62618   3.67587  11.82745 -30.00000   0.47730   0.00000  0.00000E+00  8.96220E-01  8.86300E-02  2.77400E-03     0.56800     0.43670     0.00000     0.00030    -0.00448  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0929515038
