   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    0.50000  0.00000000000E+00   1.23851   4.24578  10.49379 -30.00000   0.47743   0.00000  0.00000E+00  9.43790E-01  4.28200E-02  1.19600E-03     0.01430     0.98820     0.00000     0.00070    -0.00180  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0000000000
        2    0.50000  1.53490000000E+04   1.23892   4.24578  10.49399 -30.00000   0.47743   0.00000  0.00000E+00  9.43540E-01  4.30700E-02  1.20200E-03     0.01430     0.98900     0.00000     0.00070    -0.00257  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0003261579
        3    0.50000  3.45360000000E+04   1.23920   4.24577  10.49414 -30.00000   0.47743   0.00000  0.00000E+00  9.43220E-01  4.33800E-02  1.20900E-03     0.01440     0.99020     0.00000     0.00070    -0.00390  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0007338712
        4    0.50000  5.85190000000E+04   1.23938   4.24577  10.49425 -30.00000   0.47743   0.00000  0.00000E+00  9.42810E-01  4.37700E-02  1.21800E-03     0.01450     0.99170     0.00000     0.00070    -0.00545  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0012434970
        5    0.50000  8.84980000000E+04   1.23949   4.24576  10.49431 -30.00000   0.47743   0.00000  0.00000E+00  9.42310E-01  4.42600E-02  1.22900E-03     0.01450     0.99340     0.00000     0.00070    -0.00711  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0018805344
        6    0.50000  1.25972000000E+05   1.23951   4.24575  10.49435 -30.00000   0.47743   0.00000  0.00000E+00  9.41680E-01  4.48800E-02  1.24300E-03     0.01450     0.99490     0.00000     0.00070    -0.00865  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0026768366
        7    0.50000  1.72814000000E+05   1.23947   4.24573  10.49436 -30.00000   0.47743   0.00000  0.00000E+00  9.40890E-01  4.56500E-02  1.26000E-03     0.01440     0.99620     0.00000     0.00070    -0.00987  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0036722037
        8    0.50000  2.31367000000E+05   1.23939   4.24570  10.49438 -30.00000   0.47743   0.00000  0.00000E+00  9.39900E-01  4.66100E-02  1.28300E-03     0.01440     0.99700     0.00000     0.00070    -0.01062  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0049164231
        9    0.50000  3.04558000000E+05   1.23930   4.24565  10.49444 -30.00000   0.47743   0.00000  0.00000E+00  9.38660E-01  4.78100E-02  1.31200E-03     0.01430     0.99730     0.00000     0.00070    -0.01088  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0064716921
       10    0.50000  3.96046000000E+05   1.23930   4.24558  10.49459 -30.00000   0.47743   0.00000  0.00000E+00  9.37120E-01  4.93100E-02  1.34900E-03     0.01420     0.99720     0.00000     0.00070    -0.01075  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0084157625
       11    0.50000  5.10406000000E+05   1.23944   4.24546  10.49489 -30.00000   0.47743   0.00000  0.00000E+00  9.35190E-01  5.11800E-02  1.39800E-03     0.01410     0.99710     0.00000     0.00070    -0.01047  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0108458504
       12    0.50000  6.53356000000E+05   1.23974   4.24531  10.49535 -30.00000   0.47743   0.00000  0.00000E+00  9.32930E-01  5.33800E-02  1.45700E-03     0.01390     0.99730     0.00000     0.00070    -0.01056  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0138834602
       13    0.50000  8.32046000000E+05   1.24020   4.24511  10.49596 -30.00000   0.47743   0.00000  0.00000E+00  9.30160E-01  5.60600E-02  1.53400E-03     0.01370     0.99710     0.00000     0.00070    -0.01015  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0176805257
       14    0.50000  1.05540600000E+06   1.24063   4.24492  10.49658 -30.00000   0.47743   0.00000  0.00000E+00  9.30270E-01  5.59500E-02  1.53900E-03     0.01350     0.99720     0.00000     0.00070    -0.01008  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0224268044
       15    0.50000  1.33460600000E+06   1.24102   4.24467  10.49727 -30.00000   0.47743   0.00000  0.00000E+00  9.26820E-01  5.92900E-02  1.63900E-03     0.01330     0.99780     0.00000     0.00070    -0.01050  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0283596528
       16    0.50000  1.65257600000E+06   1.24151   4.24439  10.49806 -30.00000   0.47743   0.00000  0.00000E+00  9.24100E-01  6.19100E-02  1.72500E-03     0.01310     0.99740     0.00000     0.00070    -0.00990  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0351163427
       17    0.50000  2.05003600000E+06   1.24217   4.24404  10.49910 -30.00000   0.47743   0.00000  0.00000E+00  9.19740E-01  6.61200E-02  1.86700E-03     0.01280     0.99780     0.00000     0.00070    -0.01001  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0435621519
       18    0.50000  2.40690600000E+06   1.24281   4.24371  10.50008 -30.00000   0.47743   0.00000  0.00000E+00  9.15670E-01  7.00300E-02  2.00800E-03     0.01260     0.99800     0.00000     0.00070    -0.01004  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0511454456
       19    0.50000  2.74986600000E+06   1.24346   4.24339  10.50105 -30.00000   0.47743   0.00000  0.00000E+00  9.11720E-01  7.38200E-02  2.15200E-03     0.01240     0.99820     0.00000     0.00070    -0.00997  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0584331594
       20    0.50000  3.08894600000E+06   1.24413   4.24307  10.50202 -30.00000   0.47743   0.00000  0.00000E+00  9.07810E-01  7.75600E-02  2.30300E-03     0.01220     0.99830     0.00000     0.00070    -0.00994  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0656384253
       21    0.50000  3.42745600000E+06   1.24480   4.24275  10.50299 -30.00000   0.47743   0.00000  0.00000E+00  9.03980E-01  8.12200E-02  2.45900E-03     0.01200     0.99850     0.00000     0.00070    -0.01000  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0728315790
       22    0.50000  3.77157600000E+06   1.24547   4.24243  10.50397 -30.00000   0.47743   0.00000  0.00000E+00  9.00240E-01  8.47900E-02  2.62000E-03     0.01190     0.99860     0.00000     0.00070    -0.00994  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0801439421
       23    0.50000  4.12942600000E+06   1.24619   4.24210  10.50499 -30.00000   0.47743   0.00000  0.00000E+00  8.96380E-01  8.84600E-02  2.79400E-03     0.01170     0.99870     0.00000     0.00070    -0.00983  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0877480603
       24    0.50000  4.48989600000E+06   1.24694   4.24176  10.50605 -30.00000   0.47743   0.00000  0.00000E+00  8.92280E-01  9.23500E-02  2.98500E-03     0.01150     0.99870     0.00000     0.00070    -0.00973  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0954078521
       25    0.50000  4.83160600000E+06   1.24767   4.24143  10.50707 -30.00000   0.47743   0.00000  0.00000E+00  8.88390E-01  9.60300E-02  3.17500E-03     0.01140     0.99880     0.00000     0.00070    -0.00969  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.1026690041
       26    0.50000  5.17259600000E+06   1.24842   4.24110  10.50810 -30.00000   0.47743   0.00000  0.00000E+00  8.84510E-01  9.97000E-02  3.37100E-03     0.01120     0.99890     0.00000     0.00070    -0.00967  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.1099148564
       27    0.50000  5.51295600000E+06   1.24916   4.24078  10.50912 -30.00000   0.47743   0.00000  0.00000E+00  8.80740E-01  1.03300E-01  3.57200E-03     0.01110     0.99920     0.00000     0.00070    -0.00978  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.1171473216
       28    0.50000  5.86211600000E+06   1.24989   4.24045  10.51013 -30.00000   0.47743   0.00000  0.00000E+00  8.77250E-01  1.06500E-01  3.76900E-03     0.01090     0.99920     0.00000     0.00070    -0.00964  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.1245667820
       29    0.50000  6.24834600000E+06   1.25069   4.24009  10.51125 -30.00000   0.47743   0.00000  0.00000E+00  8.73190E-01  1.10300E-01  4.00400E-03     0.01080     0.99940     0.00000     0.00070    -0.00967  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.1327739598
       30    0.50000  6.61564600000E+06   1.25146   4.23975  10.51233 -30.00000   0.47743   0.00000  0.00000E+00  8.69180E-01  1.14100E-01  4.24100E-03     0.01060     0.99960     0.00000     0.00070    -0.00973  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.1405788854
       31    0.50000  6.96842600000E+06   1.25222   4.23941  10.51339 -30.00000   0.47743   0.00000  0.00000E+00  8.65230E-01  1.17800E-01  4.48200E-03     0.01050     0.99960     0.00000     0.00070    -0.00960  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.1480752688
       32    0.50000  7.31231600000E+06   1.25298   4.23907  10.51444 -30.00000   0.47743   0.00000  0.00000E+00  8.61370E-01  1.21400E-01  4.72500E-03     0.01030     0.99960     0.00000     0.00070    -0.00953  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.1553827446
       33    0.50000  7.65553600000E+06   1.25373   4.23875  10.51546 -30.00000   0.47743   0.00000  0.00000E+00  8.57870E-01  1.24600E-01  4.95900E-03     0.01020     0.99980     0.00000     0.00070    -0.00959  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.1626759832
       34    0.50000  8.03227600000E+06   1.25451   4.23840  10.51655 -30.00000   0.47743   0.00000  0.00000E+00  8.54140E-01  1.28100E-01  5.21800E-03     0.01010     0.99990     0.00000     0.00070    -0.00964  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.1706815037
       35    0.50000  8.41967600000E+06   1.25533   4.23803  10.51770 -30.00000   0.47743   0.00000  0.00000E+00  8.49850E-01  1.32100E-01  5.51500E-03     0.00990     1.00000     0.00000     0.00070    -0.00953  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.1789135433
       36    0.50000  8.76517600000E+06   1.25610   4.23769  10.51875 -30.00000   0.47743   0.00000  0.00000E+00  8.46010E-01  1.35600E-01  5.78900E-03     0.00980     1.00000     0.00000     0.00070    -0.00949  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.1862552307
       37    0.50000  9.10976600000E+06   1.25686   4.23736  10.51980 -30.00000   0.47743   0.00000  0.00000E+00  8.42390E-01  1.39000E-01  6.05900E-03     0.00970     1.00040     0.00000     0.00070    -0.00972  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.1935775811
       38    0.50000  9.47288600000E+06   1.25765   4.23701  10.52090 -30.00000   0.47743   0.00000  0.00000E+00  8.38570E-01  1.42500E-01  6.35200E-03     0.00960     1.00050     0.00000     0.00070    -0.00974  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.2012936839
