   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    1.20000  0.00000000000E+00   1.72357   3.67302  11.88184 -30.00000   0.47455   0.00000  0.00000E+00  9.43730E-01  4.25100E-02  5.52500E-04     0.68480     0.32540     0.00000     0.00020    -0.01043  6.90600E-01  2.95300E-01  1.93600E-03  1.28300E-03  6.16200E-03   1.0000000000
        2    1.20000  1.53490000000E+04   1.72527   3.67289  11.88295 -30.00000   0.47455   0.00000  0.00000E+00  9.43470E-01  4.27600E-02  5.57900E-04     0.67500     0.32540     0.00000     0.00020    -0.00061  6.90600E-01  2.95300E-01  1.93600E-03  1.28300E-03  6.16200E-03   1.0003544649
        3    1.20000  3.45360000000E+04   1.72686   3.67279  11.88395 -30.00000   0.47455   0.00000  0.00000E+00  9.43150E-01  4.30800E-02  5.64900E-04     0.67510     0.32450     0.00000     0.00020     0.00018  6.90600E-01  2.95300E-01  1.93600E-03  1.28300E-03  6.16200E-03   1.0007975634
        4    1.20000  5.85190000000E+04   1.72718   3.67279  11.88411 -30.00000   0.47455   0.00000  0.00000E+00  9.42740E-01  4.34700E-02  5.73600E-04     0.67720     0.32390     0.00000     0.00020    -0.00114  6.90600E-01  2.95300E-01  1.93600E-03  1.28300E-03  6.16200E-03   1.0013514192
        5    1.20000  8.84980000000E+04   1.72643   3.67286  11.88360 -30.00000   0.47455   0.00000  0.00000E+00  9.42240E-01  4.39700E-02  5.84600E-04     0.67730     0.32410     0.00000     0.00020    -0.00156  6.90600E-01  2.95300E-01  1.93600E-03  1.28300E-03  6.16200E-03   1.0020437447
        6    1.20000  1.25972000000E+05   1.72549   3.67293  11.88298 -30.00000   0.47455   0.00000  0.00000E+00  9.41600E-01  4.45800E-02  5.98500E-04     0.67730     0.32480     0.00000     0.00020    -0.00221  6.90600E-01  2.95300E-01  1.93600E-03  1.28300E-03  6.16200E-03   1.0029091574
        7    1.20000  1.72814000000E+05   1.72483   3.67298  11.88255 -30.00000   0.47455   0.00000  0.00000E+00  9.40810E-01  4.53500E-02  6.16200E-04     0.67770     0.32560     0.00000     0.00020    -0.00320  6.90600E-01  2.95300E-01  1.93600E-03  1.28300E-03  6.16200E-03   1.0039909116
        8    1.20000  2.31367000000E+05   1.72452   3.67300  11.88236 -30.00000   0.47455   0.00000  0.00000E+00  9.39830E-01  4.63100E-02  6.38800E-04     0.67800     0.32620     0.00000     0.00020    -0.00405  6.90600E-01  2.95300E-01  1.93600E-03  1.28300E-03  6.16200E-03   1.0053431160
        9    1.20000  3.04558000000E+05   1.72453   3.67299  11.88237 -30.00000   0.47455   0.00000  0.00000E+00  9.38590E-01  4.75200E-02  6.67700E-04     0.67810     0.32660     0.00000     0.00020    -0.00458  6.90600E-01  2.95300E-01  1.93600E-03  1.28300E-03  6.16200E-03   1.0070333657
       10    1.20000  3.96046000000E+05   1.72477   3.67297  11.88254 -30.00000   0.47455   0.00000  0.00000E+00  9.37050E-01  4.90200E-02  7.04900E-04     0.67820     0.32680     0.00000     0.00020    -0.00486  6.90600E-01  2.95300E-01  1.93600E-03  1.28300E-03  6.16200E-03   1.0091461605
       11    1.20000  5.10406000000E+05   1.72521   3.67293  11.88284 -30.00000   0.47455   0.00000  0.00000E+00  9.35110E-01  5.09000E-02  7.53100E-04     0.67820     0.32690     0.00000     0.00020    -0.00495  6.90600E-01  2.95300E-01  1.93600E-03  1.28300E-03  6.16200E-03   1.0117871540
       12    1.20000  6.53356000000E+05   1.72582   3.67287  11.88326 -30.00000   0.47455   0.00000  0.00000E+00  9.32980E-01  5.29700E-02  8.09300E-04     0.67820     0.32690     0.00000     0.00020    -0.00494  6.90600E-01  2.95300E-01  1.93600E-03  1.28300E-03  6.16200E-03   1.0150883959
       13    1.20000  8.32046000000E+05   1.72663   3.67280  11.88380 -30.00000   0.47455   0.00000  0.00000E+00  9.32960E-01  5.29800E-02  8.14500E-04     0.67830     0.32680     0.00000     0.00020    -0.00488  6.90600E-01  2.95300E-01  1.93600E-03  1.28300E-03  6.16200E-03   1.0192150060
       14    1.20000  1.05540600000E+06   1.72762   3.67272  11.88447 -30.00000   0.47455   0.00000  0.00000E+00  9.30360E-01  5.55000E-02  8.85600E-04     0.67840     0.32660     0.00000     0.00020    -0.00486  6.90600E-01  2.95300E-01  1.93600E-03  1.28300E-03  6.16200E-03   1.0243732109
       15    1.20000  1.33460600000E+06   1.72881   3.67261  11.88527 -30.00000   0.47455   0.00000  0.00000E+00  9.27830E-01  5.79500E-02  9.59700E-04     0.67850     0.32630     0.00000     0.00020    -0.00459  6.90600E-01  2.95300E-01  1.93600E-03  1.28300E-03  6.16200E-03   1.0308209670
       16    1.20000  1.68360600000E+06   1.73020   3.67250  11.88619 -30.00000   0.47455   0.00000  0.00000E+00  9.23740E-01  6.19000E-02  1.08300E-03     0.67850     0.32610     0.00000     0.00020    -0.00442  6.90600E-01  2.95300E-01  1.93600E-03  1.28300E-03  6.16200E-03   1.0388806621
       17    1.20000  2.01758600000E+06   1.73142   3.67240  11.88700 -30.00000   0.47455   0.00000  0.00000E+00  9.19900E-01  6.56000E-02  1.20700E-03     0.67830     0.32620     0.00000     0.00020    -0.00427  6.90600E-01  2.95300E-01  1.93600E-03  1.28300E-03  6.16200E-03   1.0465934902
       18    1.20000  2.35842600000E+06   1.73255   3.67231  11.88775 -30.00000   0.47455   0.00000  0.00000E+00  9.16020E-01  6.93400E-02  1.34000E-03     0.67800     0.32630     0.00000     0.00020    -0.00415  6.90600E-01  2.95300E-01  1.93600E-03  1.28300E-03  6.16200E-03   1.0544647409
       19    1.20000  2.70150600000E+06   1.73359   3.67223  11.88843 -30.00000   0.47455   0.00000  0.00000E+00  9.12020E-01  7.31800E-02  1.48500E-03     0.67760     0.32650     0.00000     0.00020    -0.00394  6.90600E-01  2.95300E-01  1.93600E-03  1.28300E-03  6.16200E-03   1.0623877214
       20    1.20000  3.03691600000E+06   1.73452   3.67216  11.88903 -30.00000   0.47455   0.00000  0.00000E+00  9.08110E-01  7.69200E-02  1.63400E-03     0.67720     0.32680     0.00000     0.00020    -0.00380  6.90600E-01  2.95300E-01  1.93600E-03  1.28300E-03  6.16200E-03   1.0701335734
       21    1.20000  3.37132600000E+06   1.73536   3.67210  11.88958 -30.00000   0.47455   0.00000  0.00000E+00  9.04410E-01  8.04600E-02  1.78400E-03     0.67670     0.32720     0.00000     0.00020    -0.00376  6.90600E-01  2.95300E-01  1.93600E-03  1.28300E-03  6.16200E-03   1.0778563317
       22    1.20000  3.72346600000E+06   1.73614   3.67204  11.89007 -30.00000   0.47455   0.00000  0.00000E+00  9.00550E-01  8.41400E-02  1.94800E-03     0.67610     0.32770     0.00000     0.00020    -0.00364  6.90600E-01  2.95300E-01  1.93600E-03  1.28300E-03  6.16200E-03   1.0859885410
