   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    0.49500  0.00000000000E+00   1.22811   4.27739  10.42537 -30.00000   0.47743   0.00000  0.00000E+00  9.43790E-01  4.28100E-02  1.19600E-03     0.00510     0.99610     0.00000     0.00070    -0.00053  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0000000000
        2    0.49500  1.53490000000E+04   1.22826   4.27739  10.42544 -30.00000   0.47743   0.00000  0.00000E+00  9.43540E-01  4.30600E-02  1.20200E-03     0.00510     0.99750     0.00000     0.00070    -0.00195  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0003205691
        3    0.49500  3.45360000000E+04   1.22838   4.27740  10.42549 -30.00000   0.47743   0.00000  0.00000E+00  9.43220E-01  4.33800E-02  1.20900E-03     0.00530     0.99920     0.00000     0.00070    -0.00368  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0007212961
        4    0.49500  5.85190000000E+04   1.22846   4.27740  10.42553 -30.00000   0.47743   0.00000  0.00000E+00  9.42820E-01  4.37700E-02  1.21800E-03     0.00530     1.00090     0.00000     0.00070    -0.00551  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0012221892
        5    0.49500  8.84980000000E+04   1.22851   4.27739  10.42556 -30.00000   0.47743   0.00000  0.00000E+00  9.42320E-01  4.42500E-02  1.22900E-03     0.00540     1.00270     0.00000     0.00070    -0.00730  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0018483108
        6    0.49500  1.25972000000E+05   1.22851   4.27738  10.42558 -30.00000   0.47743   0.00000  0.00000E+00  9.41720E-01  4.48300E-02  1.24200E-03     0.00540     1.00430     0.00000     0.00070    -0.00898  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0026309680
        7    0.49500  1.72814000000E+05   1.22846   4.27736  10.42559 -30.00000   0.47743   0.00000  0.00000E+00  9.40960E-01  4.55800E-02  1.25900E-03     0.00540     1.00550     0.00000     0.00070    -0.01017  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0036092791
        8    0.49500  2.31367000000E+05   1.22839   4.27733  10.42562 -30.00000   0.47743   0.00000  0.00000E+00  9.40000E-01  4.65100E-02  1.28100E-03     0.00550     1.00610     0.00000     0.00070    -0.01086  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0048321784
        9    0.49500  3.04558000000E+05   1.22834   4.27728  10.42569 -30.00000   0.47743   0.00000  0.00000E+00  9.38800E-01  4.76800E-02  1.30900E-03     0.00550     1.00630     0.00000     0.00070    -0.01105  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0063607972
       10    0.49500  3.96046000000E+05   1.22838   4.27721  10.42586 -30.00000   0.47743   0.00000  0.00000E+00  9.37310E-01  4.91300E-02  1.34600E-03     0.00550     1.00610     0.00000     0.00070    -0.01087  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0082715552
