   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    0.54000  0.00000000000E+00   1.44514   3.93920  11.21026 -30.00000   0.47734   0.00000  0.00000E+00  9.43790E-01  4.28200E-02  1.19600E-03     0.39280     0.64160     0.00000     0.00040    -0.03433  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0000000000
        2    0.54000  1.00150000000E+04   1.44968   3.93766  11.21561 -30.00000   0.47734   0.00000  0.00000E+00  9.43620E-01  4.29800E-02  1.20000E-03     0.37760     0.63560     0.00000     0.00040    -0.01312  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0002259168
        3    0.54000  2.25340000000E+04   1.45284   3.93713  11.21825 -30.00000   0.47734   0.00000  0.00000E+00  9.43400E-01  4.32000E-02  1.20500E-03     0.36710     0.63240     0.00000     0.00040     0.00065  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0005083183
        4    0.54000  3.81830000000E+04   1.45373   3.93748  11.21799 -30.00000   0.47734   0.00000  0.00000E+00  9.43130E-01  4.34600E-02  1.21100E-03     0.36180     0.63290     0.00000     0.00040     0.00551  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0008613260
        5    0.54000  5.77440000000E+04   1.45290   3.93837  11.21580 -30.00000   0.47734   0.00000  0.00000E+00  9.42790E-01  4.37900E-02  1.21800E-03     0.35900     0.63610     0.00000     0.00040     0.00508  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0013025798
        6    0.54000  8.21950000000E+04   1.45123   3.93943  11.21284 -30.00000   0.47734   0.00000  0.00000E+00  9.42370E-01  4.42100E-02  1.22700E-03     0.35760     0.64050     0.00000     0.00040     0.00215  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0018541416
        7    0.54000  1.12759000000E+05   1.44939   3.94045  11.20989 -30.00000   0.47734   0.00000  0.00000E+00  9.41830E-01  4.47300E-02  1.23900E-03     0.35650     0.64490     0.00000     0.00040    -0.00112  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0025435993
        8    0.54000  1.50964000000E+05   1.44772   3.94134  11.20728 -30.00000   0.47734   0.00000  0.00000E+00  9.41200E-01  4.53500E-02  1.25300E-03     0.35540     0.64870     0.00000     0.00040    -0.00378  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0034054216
        9    0.54000  1.98720000000E+05   1.44630   3.94209  11.20506 -30.00000   0.47734   0.00000  0.00000E+00  9.40380E-01  4.61400E-02  1.27100E-03     0.35420     0.65160     0.00000     0.00040    -0.00547  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0044826937
       10    0.54000  2.58415000000E+05   1.44511   3.94273  11.20319 -30.00000   0.47734   0.00000  0.00000E+00  9.39360E-01  4.71400E-02  1.29500E-03     0.35310     0.65360     0.00000     0.00040    -0.00641  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0058292839
