   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    0.52000  0.00000000000E+00   1.32243   4.12358  10.78014 -30.00000   0.47742   0.00000  0.00000E+00  9.43790E-01  4.28200E-02  1.19600E-03     0.16750     0.84700     0.00000     0.00060    -0.01410  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0000000000
        2    0.52000  1.53490000000E+04   1.32460   4.12330  10.78179 -30.00000   0.47742   0.00000  0.00000E+00  9.43530E-01  4.30700E-02  1.20200E-03     0.16350     0.84400     0.00000     0.00060    -0.00697  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0003394324
        3    0.52000  3.45360000000E+04   1.32574   4.12318  10.78260 -30.00000   0.47742   0.00000  0.00000E+00  9.43200E-01  4.33900E-02  1.20900E-03     0.16050     0.84350     0.00000     0.00060    -0.00352  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0007637395
        4    0.52000  5.85190000000E+04   1.32603   4.12318  10.78274 -30.00000   0.47742   0.00000  0.00000E+00  9.42790E-01  4.37900E-02  1.21800E-03     0.15800     0.84520     0.00000     0.00060    -0.00266  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0012941068
        5    0.52000  8.84980000000E+04   1.32575   4.12327  10.78243 -30.00000   0.47742   0.00000  0.00000E+00  9.42280E-01  4.42900E-02  1.22900E-03     0.15570     0.84820     0.00000     0.00060    -0.00331  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0019570715
        6    0.52000  1.25972000000E+05   1.32509   4.12342  10.78180 -30.00000   0.47742   0.00000  0.00000E+00  9.41630E-01  4.49200E-02  1.24300E-03     0.15350     0.85180     0.00000     0.00060    -0.00482  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0027857828
        7    0.52000  1.72814000000E+05   1.32419   4.12361  10.78097 -30.00000   0.47742   0.00000  0.00000E+00  9.40820E-01  4.57100E-02  1.26100E-03     0.15160     0.85550     0.00000     0.00060    -0.00649  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0038216609
        8    0.52000  2.31367000000E+05   1.32316   4.12381  10.78005 -30.00000   0.47742   0.00000  0.00000E+00  9.39810E-01  4.67000E-02  1.28400E-03     0.14970     0.85880     0.00000     0.00060    -0.00785  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0051165196
        9    0.52000  3.04558000000E+05   1.32208   4.12401  10.77911 -30.00000   0.47742   0.00000  0.00000E+00  9.38540E-01  4.79300E-02  1.31400E-03     0.14780     0.86140     0.00000     0.00060    -0.00867  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0067350874
       10    0.52000  3.96046000000E+05   1.32105   4.12417  10.77827 -30.00000   0.47742   0.00000  0.00000E+00  9.36960E-01  4.94700E-02  1.35200E-03     0.14600     0.86360     0.00000     0.00060    -0.00898  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0087582806
       11    0.52000  5.10406000000E+05   1.32017   4.12426  10.77765 -30.00000   0.47742   0.00000  0.00000E+00  9.35100E-01  5.12700E-02  1.39800E-03     0.14410     0.86550     0.00000     0.00060    -0.00906  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0112872722
       12    0.52000  6.53356000000E+05   1.31951   4.12429  10.77726 -30.00000   0.47742   0.00000  0.00000E+00  9.35690E-01  5.07000E-02  1.38700E-03     0.14230     0.86660     0.00000     0.00060    -0.00844  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0144485116
       13    0.52000  8.32046000000E+05   1.31892   4.12428  10.77699 -30.00000   0.47742   0.00000  0.00000E+00  9.33540E-01  5.27900E-02  1.44200E-03     0.14060     0.86890     0.00000     0.00060    -0.00898  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0184001161
       14    0.52000  1.05540600000E+06   1.31842   4.12422  10.77686 -30.00000   0.47742   0.00000  0.00000E+00  9.30880E-01  5.53700E-02  1.51300E-03     0.13870     0.87080     0.00000     0.00060    -0.00899  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0233395665
       15    0.52000  1.33460600000E+06   1.31805   4.12408  10.77696 -30.00000   0.47742   0.00000  0.00000E+00  9.27520E-01  5.86200E-02  1.60900E-03     0.13680     0.87260     0.00000     0.00060    -0.00889  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0295138794
       16    0.52000  1.66086600000E+06   1.31781   4.12387  10.77725 -30.00000   0.47742   0.00000  0.00000E+00  9.23600E-01  6.24100E-02  1.72700E-03     0.13470     0.87460     0.00000     0.00060    -0.00887  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0367288914
       17    0.52000  1.98694600000E+06   1.31768   4.12364  10.77764 -30.00000   0.47742   0.00000  0.00000E+00  9.19680E-01  6.61900E-02  1.85300E-03     0.13290     0.87650     0.00000     0.00060    -0.00886  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0439399229
       18    0.52000  2.31245600000E+06   1.31761   4.12340  10.77809 -30.00000   0.47742   0.00000  0.00000E+00  9.15760E-01  6.99600E-02  1.98600E-03     0.13120     0.87820     0.00000     0.00060    -0.00887  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0511383491
       19    0.52000  2.63738600000E+06   1.31759   4.12315  10.77858 -30.00000   0.47742   0.00000  0.00000E+00  9.11930E-01  7.36300E-02  2.12500E-03     0.12950     0.87990     0.00000     0.00060    -0.00896  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0583239491
       20    0.52000  2.96897600000E+06   1.31760   4.12290  10.77909 -30.00000   0.47742   0.00000  0.00000E+00  9.08290E-01  7.71200E-02  2.26600E-03     0.12790     0.88140     0.00000     0.00060    -0.00886  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0656568304
       21    0.52000  3.32403600000E+06   1.31762   4.12262  10.77966 -30.00000   0.47742   0.00000  0.00000E+00  9.04280E-01  8.09500E-02  2.42700E-03     0.12630     0.88300     0.00000     0.00060    -0.00889  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0735087342
       22    0.52000  3.66939600000E+06   1.31766   4.12234  10.78023 -30.00000   0.47742   0.00000  0.00000E+00  9.00210E-01  8.48300E-02  2.59800E-03     0.12470     0.88460     0.00000     0.00060    -0.00886  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0811461294
       23    0.52000  3.99954600000E+06   1.31774   4.12207  10.78083 -30.00000   0.47742   0.00000  0.00000E+00  8.96400E-01  8.84600E-02  2.76600E-03     0.12320     0.88610     0.00000     0.00060    -0.00886  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0884471660
       24    0.52000  4.33630600000E+06   1.31786   4.12178  10.78147 -30.00000   0.47742   0.00000  0.00000E+00  8.92700E-01  9.19800E-02  2.93900E-03     0.12180     0.88750     0.00000     0.00060    -0.00879  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0958943782
       25    0.52000  4.68919600000E+06   1.31799   4.12146  10.78216 -30.00000   0.47742   0.00000  0.00000E+00  8.88570E-01  9.58900E-02  3.13700E-03     0.12020     0.88890     0.00000     0.00060    -0.00874  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.1036982941
