   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    1.05000  0.00000000000E+00   1.70283   3.67021  11.87710 -30.00000   0.47591   0.00000  0.00000E+00  9.44430E-01  4.27100E-02  7.62300E-04     0.66660     0.34670     0.00000     0.00020    -0.01341  6.95300E-01  2.90800E-01  2.05800E-03  1.09800E-03  6.09300E-03   1.0000000000
        2    1.05000  1.53490000000E+04   1.70547   3.66999  11.87886 -30.00000   0.47591   0.00000  0.00000E+00  9.44170E-01  4.29600E-02  7.67900E-04     0.65230     0.34630     0.00000     0.00020     0.00123  6.95300E-01  2.90800E-01  2.05800E-03  1.09800E-03  6.09300E-03   1.0003582681
        3    1.05000  3.45360000000E+04   1.70773   3.66985  11.88026 -30.00000   0.47591   0.00000  0.00000E+00  9.43840E-01  4.32800E-02  7.74900E-04     0.65080     0.34500     0.00000     0.00020     0.00403  6.95300E-01  2.90800E-01  2.05800E-03  1.09800E-03  6.09300E-03   1.0008061208
        4    1.05000  5.85190000000E+04   1.70789   3.66987  11.88030 -30.00000   0.47591   0.00000  0.00000E+00  9.43430E-01  4.36800E-02  7.83700E-04     0.65410     0.34430     0.00000     0.00020     0.00142  6.95300E-01  2.90800E-01  2.05800E-03  1.09800E-03  6.09300E-03   1.0013659191
        5    1.05000  8.84980000000E+04   1.70653   3.66999  11.87938 -30.00000   0.47591   0.00000  0.00000E+00  9.42910E-01  4.41800E-02  7.94800E-04     0.65550     0.34480     0.00000     0.00020    -0.00037  6.95300E-01  2.90800E-01  2.05800E-03  1.09800E-03  6.09300E-03   1.0020656728
        6    1.05000  1.25972000000E+05   1.70502   3.67012  11.87837 -30.00000   0.47591   0.00000  0.00000E+00  9.42270E-01  4.48100E-02  8.08800E-04     0.65580     0.34590     0.00000     0.00020    -0.00168  6.95300E-01  2.90800E-01  2.05800E-03  1.09800E-03  6.09300E-03   1.0029403708
        7    1.05000  1.72814000000E+05   1.70400   3.67020  11.87769 -30.00000   0.47591   0.00000  0.00000E+00  9.41470E-01  4.55900E-02  8.26700E-04     0.65610     0.34680     0.00000     0.00020    -0.00288  6.95300E-01  2.90800E-01  2.05800E-03  1.09800E-03  6.09300E-03   1.0040337316
        8    1.05000  2.31367000000E+05   1.70348   3.67024  11.87735 -30.00000   0.47591   0.00000  0.00000E+00  9.40470E-01  4.65600E-02  8.49500E-04     0.65620     0.34760     0.00000     0.00020    -0.00379  6.95300E-01  2.90800E-01  2.05800E-03  1.09800E-03  6.09300E-03   1.0054004443
        9    1.05000  3.04558000000E+05   1.70334   3.67025  11.87725 -30.00000   0.47591   0.00000  0.00000E+00  9.39230E-01  4.77800E-02  8.78600E-04     0.65630     0.34820     0.00000     0.00020    -0.00435  6.95300E-01  2.90800E-01  2.05800E-03  1.09800E-03  6.09300E-03   1.0071088293
       10    1.05000  3.96046000000E+05   1.70345   3.67024  11.87734 -30.00000   0.47591   0.00000  0.00000E+00  9.37660E-01  4.92900E-02  9.16200E-04     0.65630     0.34860     0.00000     0.00020    -0.00468  6.95300E-01  2.90800E-01  2.05800E-03  1.09800E-03  6.09300E-03   1.0092442931
       11    1.05000  5.10406000000E+05   1.70378   3.67020  11.87757 -30.00000   0.47591   0.00000  0.00000E+00  9.35710E-01  5.11900E-02  9.64800E-04     0.65620     0.34880     0.00000     0.00020    -0.00483  6.95300E-01  2.90800E-01  2.05800E-03  1.09800E-03  6.09300E-03   1.0119136228
       12    1.05000  6.53356000000E+05   1.70428   3.67015  11.87792 -30.00000   0.47591   0.00000  0.00000E+00  9.33540E-01  5.33000E-02  1.02200E-03     0.65620     0.34880     0.00000     0.00020    -0.00482  6.95300E-01  2.90800E-01  2.05800E-03  1.09800E-03  6.09300E-03   1.0152502849
       13    1.05000  8.32046000000E+05   1.70497   3.67009  11.87841 -30.00000   0.47591   0.00000  0.00000E+00  9.33550E-01  5.32800E-02  1.02600E-03     0.65620     0.34880     0.00000     0.00020    -0.00482  6.95300E-01  2.90800E-01  2.05800E-03  1.09800E-03  6.09300E-03   1.0194211709
       14    1.05000  1.05540600000E+06   1.70584   3.67000  11.87900 -30.00000   0.47591   0.00000  0.00000E+00  9.30880E-01  5.58700E-02  1.09900E-03     0.65630     0.34870     0.00000     0.00020    -0.00485  6.95300E-01  2.90800E-01  2.05800E-03  1.09800E-03  6.09300E-03   1.0246347201
       15    1.05000  1.33460600000E+06   1.70691   3.66991  11.87972 -30.00000   0.47591   0.00000  0.00000E+00  9.28330E-01  5.83400E-02  1.17400E-03     0.65630     0.34840     0.00000     0.00020    -0.00459  6.95300E-01  2.90800E-01  2.05800E-03  1.09800E-03  6.09300E-03   1.0311516566
       16    1.05000  1.68360600000E+06   1.70814   3.66981  11.88054 -30.00000   0.47591   0.00000  0.00000E+00  9.24200E-01  6.23300E-02  1.29900E-03     0.65620     0.34840     0.00000     0.00020    -0.00445  6.95300E-01  2.90800E-01  2.05800E-03  1.09800E-03  6.09300E-03   1.0392978272
       17    1.05000  2.01427600000E+06   1.70920   3.66972  11.88125 -30.00000   0.47591   0.00000  0.00000E+00  9.20270E-01  6.61200E-02  1.42500E-03     0.65600     0.34850     0.00000     0.00020    -0.00428  6.95300E-01  2.90800E-01  2.05800E-03  1.09800E-03  6.09300E-03   1.0470161487
       18    1.05000  2.34393600000E+06   1.71018   3.66965  11.88189 -30.00000   0.47591   0.00000  0.00000E+00  9.16460E-01  6.97800E-02  1.55600E-03     0.65560     0.34880     0.00000     0.00020    -0.00421  6.95300E-01  2.90800E-01  2.05800E-03  1.09800E-03  6.09300E-03   1.0547108954
       19    1.05000  2.68287600000E+06   1.71109   3.66958  11.88249 -30.00000   0.47591   0.00000  0.00000E+00  9.12610E-01  7.34800E-02  1.69600E-03     0.65520     0.34910     0.00000     0.00020    -0.00410  6.95300E-01  2.90800E-01  2.05800E-03  1.09800E-03  6.09300E-03   1.0626222509
       20    1.05000  3.02666600000E+06   1.71192   3.66952  11.88302 -30.00000   0.47591   0.00000  0.00000E+00  9.08580E-01  7.73500E-02  1.84900E-03     0.65470     0.34940     0.00000     0.00020    -0.00392  6.95300E-01  2.90800E-01  2.05800E-03  1.09800E-03  6.09300E-03   1.0706468125
       21    1.05000  3.35891600000E+06   1.71264   3.66947  11.88348 -30.00000   0.47591   0.00000  0.00000E+00  9.04860E-01  8.09000E-02  2.00000E-03     0.65410     0.35000     0.00000     0.00020    -0.00390  6.95300E-01  2.90800E-01  2.05800E-03  1.09800E-03  6.09300E-03   1.0784020136
