   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    0.50500  0.00000000000E+00   1.25180   4.21631  10.55938 -30.00000   0.47743   0.00000  0.00000E+00  9.43790E-01  4.28200E-02  1.19600E-03     0.03250     0.97150     0.00000     0.00070    -0.00337  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0000000000
        2    0.50500  1.53490000000E+04   1.25249   4.21628  10.55978 -30.00000   0.47743   0.00000  0.00000E+00  9.43540E-01  4.30700E-02  1.20200E-03     0.03250     0.97150     0.00000     0.00070    -0.00336  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0003284857
        3    0.50500  3.45360000000E+04   1.25296   4.21625  10.56007 -30.00000   0.47743   0.00000  0.00000E+00  9.43210E-01  4.33800E-02  1.20900E-03     0.03240     0.97230     0.00000     0.00070    -0.00406  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0007391089
        4    0.50500  5.85190000000E+04   1.25325   4.21623  10.56025 -30.00000   0.47743   0.00000  0.00000E+00  9.42810E-01  4.37800E-02  1.21800E-03     0.03230     0.97370     0.00000     0.00070    -0.00524  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0012523719
        5    0.50500  8.84980000000E+04   1.25340   4.21622  10.56035 -30.00000   0.47743   0.00000  0.00000E+00  9.42300E-01  4.42700E-02  1.22900E-03     0.03210     0.97530     0.00000     0.00070    -0.00672  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0018939559
        6    0.50500  1.25972000000E+05   1.25343   4.21621  10.56039 -30.00000   0.47743   0.00000  0.00000E+00  9.41670E-01  4.48900E-02  1.24300E-03     0.03190     0.97700     0.00000     0.00070    -0.00820  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0026959413
        7    0.50500  1.72814000000E+05   1.25336   4.21619  10.56038 -30.00000   0.47743   0.00000  0.00000E+00  9.40880E-01  4.56600E-02  1.26000E-03     0.03170     0.97850     0.00000     0.00070    -0.00944  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0036984124
        8    0.50500  2.31367000000E+05   1.25321   4.21617  10.56036 -30.00000   0.47743   0.00000  0.00000E+00  9.39880E-01  4.66300E-02  1.28300E-03     0.03140     0.97950     0.00000     0.00070    -0.01026  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0049515119
        9    0.50500  3.04558000000E+05   1.25303   4.21613  10.56035 -30.00000   0.47743   0.00000  0.00000E+00  9.38640E-01  4.78300E-02  1.31200E-03     0.03110     0.98020     0.00000     0.00070    -0.01060  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0065178810
       10    0.50500  3.96046000000E+05   1.25290   4.21606  10.56043 -30.00000   0.47743   0.00000  0.00000E+00  9.37090E-01  4.93400E-02  1.35000E-03     0.03080     0.98050     0.00000     0.00070    -0.01055  6.98800E-01  2.87400E-01  2.15600E-03  9.60400E-04  6.05700E-03   1.0084758262
