   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    1.20000  0.00000000000E+00   2.66884   3.56577  12.56897 -30.00000   0.00000   0.00000  7.12980E-01  2.72980E-01  2.48400E-03  6.16100E-03     0.00000     0.00000     0.00000     0.00000     0.99634  7.13000E-01  2.73000E-01  2.48400E-03  6.78300E-04  6.16100E-03   1.0000000000
        2    1.20000  3.96110000000E-05   2.66884   3.56577  12.56897 -30.00000   0.00000   0.00000  7.12980E-01  2.72980E-01  2.48400E-03  6.16100E-03     0.00000     0.00000     0.00000     0.00000     0.99634  7.13000E-01  2.73000E-01  2.48400E-03  6.78300E-04  6.16100E-03   1.0000000000
        3    1.20000  8.91250000000E-05   2.66884   3.56577  12.56897 -30.00000   0.00000   0.00000  7.12980E-01  2.72980E-01  2.48400E-03  6.16100E-03     0.00000     0.00000     0.00000     0.00000     0.99634  7.13000E-01  2.73000E-01  2.48400E-03  6.78300E-04  6.16100E-03   1.0000000000
        4    1.20000  1.51017000000E-04   2.66884   3.56577  12.56897 -30.00000   0.00000   0.00000  7.12980E-01  2.72980E-01  2.48400E-03  6.16100E-03     0.00000     0.00000     0.00000     0.00000     0.99634  7.13000E-01  2.73000E-01  2.48400E-03  6.78300E-04  6.16100E-03   1.0000000000
        5    1.20000  2.28382000000E-04   2.66884   3.56577  12.56897 -30.00000   0.00000   0.00000  7.12980E-01  2.72980E-01  2.48400E-03  6.16100E-03     0.00000     0.00000     0.00000     0.00000     0.99634  7.13000E-01  2.73000E-01  2.48400E-03  6.78300E-04  6.16100E-03   1.0000000000
        6    1.20000  3.25088000000E-04   2.66884   3.56577  12.56897 -30.00000   0.00000   0.00000  7.12980E-01  2.72980E-01  2.48400E-03  6.16100E-03     0.00000     0.00000     0.00000     0.00000     0.99634  7.13000E-01  2.73000E-01  2.48400E-03  6.78300E-04  6.16100E-03   1.0000000000
        7    1.20000  4.45968000000E-04   2.66884   3.56577  12.56897 -30.00000   0.00000   0.00000  7.12980E-01  2.72980E-01  2.48400E-03  6.16100E-03     0.00000     0.00000     0.00000     0.00000     0.99635  7.13000E-01  2.73000E-01  2.48400E-03  6.78300E-04  6.16100E-03   1.0000000001
        8    1.20000  5.97068000000E-04   2.66884   3.56577  12.56897 -30.00000   0.00000   0.00000  7.12980E-01  2.72980E-01  2.48400E-03  6.16100E-03     0.00000     0.00000     0.00000     0.00000     0.99635  7.13000E-01  2.73000E-01  2.48400E-03  6.78300E-04  6.16100E-03   1.0000000001
        9    1.20000  7.85948000000E-04   2.66884   3.56577  12.56897 -30.00000   0.00000   0.00000  7.12980E-01  2.72980E-01  2.48400E-03  6.16100E-03     0.00000     0.00000     0.00000     0.00000     0.99635  7.13000E-01  2.73000E-01  2.48400E-03  6.78300E-04  6.16100E-03   1.0000000001
       10    1.20000  1.02204800000E-03   2.66883   3.56577  12.56897 -30.00000   0.00000   0.00000  7.12980E-01  2.72980E-01  2.48400E-03  6.16100E-03     0.00000     0.00000     0.00000     0.00000     0.99635  7.13000E-01  2.73000E-01  2.48400E-03  6.78300E-04  6.16100E-03   1.0000000001
       11    1.20000  1.31716800000E-03   2.66883   3.56577  12.56897 -30.00000   0.00000   0.00000  7.12980E-01  2.72980E-01  2.48400E-03  6.16100E-03     0.00000     0.00000     0.00000     0.00000     0.99635  7.13000E-01  2.73000E-01  2.48400E-03  6.78300E-04  6.16100E-03   1.0000000002
       12    1.20000  1.68606800000E-03   2.66883   3.56577  12.56897 -30.00000   0.00000   0.00000  7.12980E-01  2.72980E-01  2.48400E-03  6.16100E-03     0.00000     0.00000     0.00000     0.00000     0.99635  7.13000E-01  2.73000E-01  2.48400E-03  6.78300E-04  6.16100E-03   1.0000000002
       13    1.20000  2.14719800000E-03   2.66883   3.56577  12.56897 -30.00000   0.00000   0.00000  7.12980E-01  2.72980E-01  2.48400E-03  6.16100E-03     0.00000     0.00000     0.00000     0.00000     0.99635  7.13000E-01  2.73000E-01  2.48400E-03  6.78300E-04  6.16100E-03   1.0000000003
       14    1.20000  2.72360800000E-03   2.66883   3.56577  12.56897 -30.00000   0.00000   0.00000  7.12980E-01  2.72980E-01  2.48400E-03  6.16100E-03     0.00000     0.00000     0.00000     0.00000     0.99636  7.13000E-01  2.73000E-01  2.48400E-03  6.78300E-04  6.16100E-03   1.0000000004
       15    1.20000  3.44412800000E-03   2.66883   3.56577  12.56897 -30.00000   0.00000   0.00000  7.12980E-01  2.72980E-01  2.48400E-03  6.16100E-03     0.00000     0.00000     0.00000     0.00000     0.99636  7.13000E-01  2.73000E-01  2.48400E-03  6.78300E-04  6.16100E-03   1.0000000005
       16    1.20000  4.34477800000E-03   2.66883   3.56577  12.56897 -30.00000   0.00000   0.00000  7.12980E-01  2.72980E-01  2.48400E-03  6.16100E-03     0.00000     0.00000     0.00000     0.00000     0.99636  7.13000E-01  2.73000E-01  2.48400E-03  6.78300E-04  6.16100E-03   1.0000000006
       17    1.20000  5.47057800000E-03   2.66883   3.56577  12.56897 -30.00000   0.00000   0.00000  7.12980E-01  2.72980E-01  2.48400E-03  6.16100E-03     0.00000     0.00000     0.00000     0.00000     0.99637  7.13000E-01  2.73000E-01  2.48400E-03  6.78300E-04  6.16100E-03   1.0000000008
