    1.77   1.40e+00   1.40e+00
    1.78   1.39e+00   1.39e+00
    1.79   1.38e+00   1.38e+00
    1.80   1.36e+00   1.36e+00
    1.81   1.35e+00   1.35e+00
    1.82   1.34e+00   1.34e+00
    1.83   1.33e+00   1.33e+00
    1.84   1.31e+00   1.31e+00
    1.85   1.30e+00   1.30e+00
    1.86   1.29e+00   1.29e+00
    1.87   1.28e+00   1.28e+00
    1.88   1.27e+00   1.27e+00
    1.89   1.25e+00   1.25e+00
    1.90   1.24e+00   1.24e+00
    1.91   1.23e+00   1.23e+00
    1.92   1.22e+00   1.22e+00
    1.93   1.21e+00   1.21e+00
    1.94   1.20e+00   1.20e+00
    1.95   1.19e+00   1.19e+00
    1.96   1.18e+00   1.18e+00
    1.97   1.17e+00   1.17e+00
    1.98   1.16e+00   1.16e+00
    1.99   1.15e+00   1.15e+00
    2.00   1.14e+00   1.14e+00
    2.01   1.13e+00   1.13e+00
    2.02   1.12e+00   1.12e+00
    2.03   1.11e+00   1.11e+00
    2.04   1.10e+00   1.10e+00
    2.05   1.09e+00   1.09e+00
    2.06   1.08e+00   1.08e+00
    2.07   1.08e+00   1.08e+00
    2.08   1.07e+00   1.07e+00
    2.09   1.06e+00   1.06e+00
    2.10   1.05e+00   1.05e+00
    2.11   1.04e+00   1.04e+00
    2.12   1.03e+00   1.03e+00
    2.13   1.02e+00   1.02e+00
    2.14   1.02e+00   1.02e+00
    2.15   1.01e+00   1.01e+00
    2.16   1.00e+00   1.00e+00
    2.17   9.92e-01   9.92e-01
    2.18   9.84e-01   9.84e-01
    2.19   9.77e-01   9.77e-01
    2.20   9.69e-01   9.69e-01
    2.21   9.62e-01   9.62e-01
    2.22   9.54e-01   9.54e-01
    2.23   9.47e-01   9.47e-01
    2.24   9.40e-01   9.40e-01
    2.25   9.33e-01   9.33e-01
    2.26   9.26e-01   9.26e-01
    2.27   9.19e-01   9.19e-01
    2.28   9.12e-01   9.12e-01
    2.29   9.05e-01   9.05e-01
    2.30   8.99e-01   8.99e-01
    3.55   6.30e-01   6.30e-01
    4.44   5.30e-01   5.30e-01
    5.19   4.13e-01   4.89e-01
    5.22   4.10e-01   4.87e-01
    5.25   4.08e-01   4.85e-01
    5.28   4.06e-01   4.83e-01
    5.31   4.04e-01   4.81e-01
    5.34   4.02e-01   4.79e-01
    5.37   4.00e-01   4.77e-01
    5.40   3.98e-01   4.75e-01
    5.43   3.96e-01   4.73e-01
    5.46   3.94e-01   4.71e-01
    5.49   3.92e-01   4.70e-01
    5.52   3.90e-01   4.68e-01
    5.55   3.88e-01   4.66e-01
    5.58   3.86e-01   4.74e-01
    5.61   3.85e-01   4.58e-01
    5.64   3.83e-01   4.71e-01
    5.67   3.81e-01   4.77e-01
    5.70   3.79e-01   4.71e-01
    5.73   3.77e-01   4.77e-01
    5.76   3.76e-01   4.82e-01
    5.79   3.74e-01   4.86e-01
    5.82   3.72e-01   4.80e-01
    5.85   3.71e-01   4.84e-01
    5.88   3.69e-01   4.80e-01
    5.91   3.67e-01   5.09e-01
    5.94   3.65e-01   4.93e-01
    5.97   3.63e-01   4.92e-01
    6.00   3.61e-01   4.91e-01
    6.03   3.59e-01   4.84e-01
    6.06   3.57e-01   4.80e-01
    6.09   3.55e-01   4.98e-01
    6.12   3.53e-01   4.76e-01
    6.15   3.51e-01   4.69e-01
    6.19   3.49e-01   4.64e-01
    6.22   3.47e-01   4.64e-01
    6.25   3.46e-01   4.63e-01
    6.28   3.44e-01   4.65e-01
    6.31   3.42e-01   4.69e-01
    6.34   3.41e-01   4.61e-01
    6.37   3.39e-01   4.66e-01
    6.40   3.38e-01   4.59e-01
    6.43   3.37e-01   4.53e-01
    6.46   3.35e-01   4.53e-01
    6.49   3.34e-01   4.50e-01
    6.52   3.33e-01   4.49e-01
    6.55   3.32e-01   4.37e-01
    6.58   3.31e-01   4.42e-01
    6.61   3.30e-01   4.60e-01
    6.64   3.29e-01   4.46e-01
    6.67   3.28e-01   4.50e-01
    6.70   3.27e-01   4.70e-01
    6.73   3.25e-01   4.70e-01
    6.76   3.23e-01   4.79e-01
    6.79   3.22e-01   4.74e-01
    6.82   3.21e-01   4.55e-01
    6.85   3.20e-01   4.71e-01
    6.88   3.19e-01   4.65e-01
    6.91   3.18e-01   4.44e-01
    6.94   3.17e-01   4.55e-01
    6.97   3.17e-01   4.51e-01
    7.00   3.16e-01   4.54e-01
    7.03   3.15e-01   4.43e-01
    7.06   3.14e-01   4.26e-01
    7.09   3.13e-01   4.24e-01
    7.12   3.13e-01   4.38e-01
    7.15   3.13e-01   4.24e-01
    7.18   3.13e-01   4.22e-01
    7.21   3.14e-01   4.23e-01
    7.24   3.15e-01   4.23e-01
    7.27   3.16e-01   4.23e-01
    7.30   3.17e-01   4.23e-01
    7.33   3.19e-01   4.24e-01
    7.36   3.21e-01   4.24e-01
    7.39   3.23e-01   4.24e-01
    7.42   3.25e-01   4.25e-01
    7.46   3.28e-01   4.26e-01
    7.49   3.31e-01   4.27e-01
    7.52   3.34e-01   4.29e-01
    7.55   3.37e-01   4.32e-01
    7.58   3.40e-01   4.34e-01
    7.64   3.47e-01   4.40e-01
    7.70   3.55e-01   4.45e-01
    7.76   3.63e-01   4.50e-01
    7.82   3.72e-01   4.56e-01
    7.88   3.82e-01   4.61e-01
    7.94   3.92e-01   4.66e-01
    8.00   4.02e-01   4.71e-01
    8.06   4.08e-01   4.76e-01
